Attribute,Index,Dirty Value,Clean Value
journal_title,52,annals of the rosyal college of surgeons of england,annals of the royal college of surgeons of england
journal_title,73,journal of the neurologcal sciences,journal of the neurological sciences
journal_title,193,learning& leading with technology,learning & leading with technology
journal_title,213,umgeskr laeger,ugeskr laeger
journal_title,256,cardiolgy in the young,cardiology in the young
journal_title,258,journal of epidemiology and fcommunity health,journal of epidemiology and community health
journal_title,296,tuumour biology : the journal of the international society for oncodevelopmental biology and medicine,tumour biology : the journal of the international society for oncodevelopmental biology and medicine
journal_title,339,rthe hematology journal : the official journal of the european haematology association / eha,the hematology journal : the official journal of the european haematology association / eha
journal_title,350,nulil,nan
journal_title,473,sceince (new york n.y.),science (new york n.y.)
journal_title,487,physiothkerapy,physiotherapy
journal_title,493,knee surgery sports traumatology arthroscopy : offcial journal of the esska,knee surgery sports traumatology arthroscopy : official journal of the esska
journal_title,523,cochrae database syst. rev.,cochrane database syst. rev.
journal_title,546,rheumatology (ofxord),rheumatology (oxford)
journal_title,551,journal of stroke and cerebrovascular diseases : the official journal of antional stroke association,journal of stroke and cerebrovascular diseases : the official journal of national stroke association
journal_title,571,jornal brasileiro de pneumologia : publicacao oficial da sociedade brasileirad e pneumologia e tisilogia,jornal brasileiro de pneumologia : publicacao oficial da sociedade brasileira de pneumologia e tisilogia
journal_title,638,haematologuica,haematologica
journal_title,664,pmlos one,plos one
journal_title,705,biomed research inernational,biomed research international
journal_title,770,plos yone,plos one
journal_title,808,cardiology in the oung,cardiology in the young
journal_title,832,canecr,cancer
journal_title,849,ann rheum ds,ann rheum dis
journal_title,855,respiratbion; international review of thoracic diseases,respiration; international review of thoracic diseases
journal_title,888,catheterization and cardiovascular interventions : official journal of the society for cardiac angiography & intervenztions,catheterization and cardiovascular interventions : official journal of the society for cardiac angiography & interventions
journal_title,889,pls one,plos one
journal_title,892,j hand srg am,j hand surg am
journal_title,915,psycho-oncoloigy,psycho-oncology
journal_title,926,functional eurology,functional neurology
journal_title,959,annals of internla medicine,annals of internal medicine
journal_title,961,journal of rheumatolgy,journal of rheumatology
journal_title,980,endocrinoloy,endocrinology
journal_issn,19,jan-68,68-jan
journal_issn,49,j1555-2101,1555-2101
journal_issn,86,9790000000000,9788480000000
journal_issn,107,0035-9157 (print) 0035-9157,nan
journal_issn,108,0035-9157 (print) 0035-9157,nan
journal_issn,109,0035-9157 (print) 0035-9157,1471-4892
journal_issn,110,0035-9157 (print) 0035-9157,1469-493x
journal_issn,111,0035-9157 (print) 0035-9157,1432-0851
journal_issn,112,0035-9157 (print) 0035-9157,2044-6055
journal_issn,113,0035-9157 (print) 0035-9157,nan
journal_issn,132,feb-37,37-feb
journal_issn,141,nul,nan
journal_issn,143,nlul,nan
journal_issn,201,1129q-2377,1129-2377
journal_issn,231,8767555,87567555
journal_issn,236,jan-47,47-jan
journal_issn,348,1463-1318,1462-8910
journal_issn,350,nuxll,nan
journal_issn,378,1923-6203,1932-6203
journal_issn,387,nkull,nan
journal_issn,392,feb-62,62-feb
journal_issn,397,1827-618,1827-1618
journal_issn,420,nnull,nan
journal_issn,435,feb-65,65-feb
journal_issn,487,18k73-1465,1873-1465
journal_issn,493,4133-7347,1433-7347
journal_issn,508,nov-53,53-nov
journal_issn,520,376-2491,0376-2491
journal_issn,586,153-821x,1532-821x
journal_issn,596,0949-2658 (print) 0949-658,0949-2658 (print) 0949-2658
journal_issn,629,1753-4w666,1753-4666
journal_issn,635,nll,nan
journal_issn,643,152-51446,0737-1209
journal_issn,644,1524-4539,22-sep
journal_issn,645,jan-55,55-jan
journal_issn,657,1406-2385,1460-2385
journal_issn,659,1524-4628,0039-2499
journal_issn,691,sep-60,60-sep
journal_issn,746,22-esp,22-sep
journal_issn,747,mar-67,67-may
journal_issn,770,19326203,1932-6203
journal_issn,773,146q0-2105,1460-2105
journal_issn,790,ull,nan
journal_issn,798,0363-50i23,0363-5023
journal_issn,808,1467-o1107,1467-1107
journal_issn,822,1930-739x,1930-7381
journal_issn,828,1532-5415,14-feb
journal_issn,849,mar-67,67-may
journal_issn,858,22a-sep,22-sep
journal_issn,889,9132-6203,1932-6203
journal_issn,894,1399-3003,0903-1936
journal_issn,915,1099-1611,1057-9249
journal_issn,932,1527-7755***,1527-7755
journal_issn,954,147-5497,1476-5497
journal_issn,984,feb-65,65-feb
journal_issn,991,feb-65,65-feb
