Attribute,Index,Dirty Value,Clean Value
gender,77,lf,f
gender,1852,nf,f
gender,5575,***,f
gender,5631,zf,f
gender,7910,xf,f
gender,8759,***,f
gender,9464,***,f
gender,9494,***,f
gender,9554,pf,f
gender,9567,am,m
gender,10685,ym,m
gender,10806,***,m
gender,11264,hf,f
gender,11633,***,m
gender,12980,***,f
gender,14230,***,f
gender,14682,***,m
gender,15771,***,f
gender,16413,qf,f
gender,17003,um,m
gender,17289,pm,m
gender,17769,***,f
city,615,no,ono
city,649,hwland,howland
city,1086,south new erlin,south new berlin
city,4192,nan,livonia center
city,5293,shelurne,shelburne
city,6297,tacftsville,taftsville
city,6385,albanay,albany
city,7202,hailezsboro,hailesboro
city,10554,flemtington,flemington
city,11058,jersy city,jersey city
city,12122,sdouth woodstock,south woodstock
city,13365,unizon dale,union dale
city,13573,nan,newark
city,16659,noth jay,north jay
city,16712,newfairfield,new fairfield
city,17147,alblion,albion
city,17666,aguasg buenas,aguas buenas
city,17777,nan,chaplin
city,19058,guadilla,aguadilla
city,19764,augirre,aguirre
state,586,cmd,md
state,2066,t,vt
state,2196,dm,md
state,4137,j,nj
state,4632,ed,de
state,5438,y,ny
state,7548,t,vt
state,11077,tc,ct
state,11965,e,de
state,14609,dm,md
state,14820,c,dc
state,14863,mja,ma
state,14864,dkc,dc
state,14902,dyc,dc
state,14973,ldc,dc
state,15060,dnc,dc
state,15163,c,dc
state,15217,c,dc
state,15240,t,vt
state,15241,cd,dc
state,15317,dqc,dc
state,15322,hdc,dc
state,15362,c,dc
state,15546,cd,dc
state,15601,cd,dc
state,15646,dkc,dc
state,15842,dlc,dc
state,15898,rdc,dc
state,15980,cd,dc
state,16000,odc,dc
state,16033,xdc,dc
state,16052,cd,dc
state,16155,c,dc
state,16160,c,dc
state,16217,c,dc
state,16259,dlc,dc
state,16275,c,dc
state,16350,kdc,dc
state,16470,dbc,dc
state,16483,xdc,dc
state,16530,djc,dc
state,16562,udc,dc
state,16683,c,dc
state,16703,cd,dc
state,16742,cd,dc
state,16850,dqc,dc
state,16891,cd,dc
state,16947,cd,dc
state,17018,cd,dc
state,17025,gdc,dc
state,17057,c,dc
state,17132,cd,dc
state,17296,cd,dc
state,17324,cd,dc
state,17345,kdc,dc
state,17351,cd,dc
state,17376,c,dc
state,17525,em,me
state,17559,bdc,dc
state,17561,cd,dc
state,17570,vdc,dc
state,17598,c,dc
state,18458,j,nj
state,19714,rp,pr
rate,33,3.8009440000000003,3.800944
rate,46,2.2673959999999997,2.267396
rate,49,3.6019894999999997,3.6019895
rate,269,3.8009440000000003,3.800944
rate,688,4.9946720000000004,4.994672
rate,755,3.6019894999999997,3.6019895
rate,932,3.8009440000000003,3.800944
rate,1134,4.4460362999999985,4.446036299999999
rate,1192,3.6019894999999997,3.6019895
rate,1244,4.4460362999999985,4.446036299999999
rate,1336,3.8009440000000003,3.800944
rate,1426,4.7957171999999995,4.7957172
rate,1508,4.9946720000000004,4.994672
rate,1635,4.9946720000000004,4.994672
rate,1744,2.2673959999999997,2.267396
rate,1773,2.2673959999999997,2.267396
rate,1852,3.6019894999999997,3.6019895
rate,1999,4.4460362999999985,4.446036299999999
rate,2115,4.9946720000000004,4.994672
rate,2122,4.4460362999999985,4.446036299999999
rate,2129,3.8009440000000003,3.800944
rate,2476,3.6019894999999997,3.6019895
rate,2609,3.6019894999999997,3.6019895
rate,3175,2.2673959999999997,2.267396
rate,3221,3.8009440000000003,3.800944
rate,3295,4.4460362999999985,4.446036299999999
rate,3384,4.0405489999999995,4.040549
rate,3458,4.9946720000000004,4.994672
rate,3551,4.9946720000000004,4.994672
rate,3572,3.8009440000000003,3.800944
rate,3599,3.8009440000000003,3.800944
rate,3758,4.9946720000000004,4.994672
rate,3959,4.7957171999999995,4.7957172
rate,3984,4.0405489999999995,4.040549
rate,3996,4.9946720000000004,4.994672
rate,4173,3.8009440000000003,3.800944
rate,4176,4.9946720000000004,4.994672
rate,4385,2.2673959999999997,2.267396
rate,4510,4.4460362999999985,4.446036299999999
rate,4724,2.2673959999999997,2.267396
rate,4945,3.6019894999999997,3.6019895
rate,4949,4.9946720000000004,4.994672
rate,4962,2.2673959999999997,2.267396
rate,5007,4.7957171999999995,4.7957172
rate,5018,4.4460362999999985,4.446036299999999
rate,5119,3.6019894999999997,3.6019895
rate,5327,6.0472025999999985,6.047202599999999
rate,5418,4.7957171999999995,4.7957172
rate,5642,4.7957171999999995,4.7957172
rate,5763,3.8009440000000003,3.800944
rate,5797,4.7957171999999995,4.7957172
rate,5935,3.8009440000000003,3.800944
rate,5957,2.2673959999999997,2.267396
rate,6158,3.8009440000000003,3.800944
rate,6447,2.2673959999999997,2.267396
rate,6457,4.9946720000000004,4.994672
rate,6730,4.7957171999999995,4.7957172
rate,6824,4.4460362999999985,4.446036299999999
rate,6835,4.9946720000000004,4.994672
rate,6882,2.6616668999999997,2.6616669
rate,6916,4.9946720000000004,4.994672
rate,6938,4.0405489999999995,4.040549
rate,6946,2.2673959999999997,2.267396
rate,6988,4.9946720000000004,4.994672
rate,7047,3.8009440000000003,3.800944
rate,7100,4.0405489999999995,4.040549
rate,7203,2.6616668999999997,2.6616669
rate,7251,4.9946720000000004,4.994672
rate,7260,4.0405489999999995,4.040549
rate,7474,2.2673959999999997,2.267396
rate,7795,3.8009440000000003,3.800944
rate,7910,4.0405489999999995,4.040549
rate,7964,4.4460362999999985,4.446036299999999
rate,7976,4.0405489999999995,4.040549
rate,8178,3.8009440000000003,3.800944
rate,8216,4.9946720000000004,4.994672
rate,8264,3.6019894999999997,3.6019895
rate,8398,3.8009440000000003,3.800944
rate,8435,4.0405489999999995,4.040549
rate,8443,4.7957171999999995,4.7957172
rate,8493,4.7957171999999995,4.7957172
rate,8496,3.5636362999999998,3.5636363
rate,8514,4.9946720000000004,4.994672
rate,8632,2.2673959999999997,2.267396
rate,8763,2.2673959999999997,2.267396
rate,8856,4.9946720000000004,4.994672
