Attribute,Index,Dirty Value,Cleaned Value
gender,39,nan,m
gender,814,nan,m
gender,1060,nan,f
gender,1232,nan,f
gender,1607,nan,f
gender,1940,nan,m
gender,1950,nan,m
gender,2189,nan,m
gender,2334,nan,m
gender,2574,nan,f
gender,2599,nan,m
gender,2938,nan,m
gender,4114,nan,m
gender,4208,nan,m
gender,4381,nan,f
gender,5084,nan,f
gender,6276,nan,m
gender,6468,nan,m
gender,6805,nan,m
gender,6848,nan,m
gender,6857,nan,f
gender,6885,nan,f
gender,7060,nan,f
gender,7335,nan,m
gender,7343,nan,m
gender,7845,nan,m
gender,7966,nan,m
gender,8972,nan,m
gender,9619,nan,f
gender,9833,nan,f
gender,9902,nan,f
gender,10234,nan,m
gender,10364,nan,m
gender,10917,nan,m
gender,11047,nan,f
gender,11119,nan,f
gender,11207,nan,f
gender,11253,nan,f
gender,11688,nan,m
gender,11755,nan,m
gender,11876,nan,f
gender,12349,nan,f
gender,12411,nan,m
gender,12420,nan,f
gender,12519,nan,f
gender,12529,nan,m
gender,12826,nan,m
gender,13321,nan,f
gender,13542,nan,f
gender,13723,nan,f
gender,14004,nan,m
gender,14048,nan,f
gender,14102,nan,f
gender,14240,nan,f
gender,14287,nan,f
gender,14315,nan,m
gender,15765,nan,f
gender,15812,nan,m
gender,16415,nan,f
gender,16747,nan,m
gender,17158,nan,f
gender,17164,nan,m
gender,17367,nan,m
gender,17496,nan,m
gender,17802,nan,f
gender,17825,nan,m
gender,18948,nan,f
gender,19368,nan,m
gender,19435,nan,f
city,183,nan,viola
city,356,nan,riva
city,1027,nan,washington
city,1931,nan,south easton
city,3571,nan,temple
city,3573,nan,milton
city,3738,nan,newbury
city,4091,nan,east derry
city,4343,nan,laughlintown
city,4730,nan,sharon
city,4896,nan,loiza
city,5571,nan,north smithfield
city,7033,nan,maywood
city,7744,nan,washington
city,8496,nan,selbyville
city,9554,nan,suncook
city,9556,nan,providence
city,9915,nan,east derry
city,10011,nan,prudence island
city,10435,nan,killington
city,11676,nan,unionville
city,11733,nan,bound brook
city,12347,nan,concord
city,12701,nan,wauregan
city,12731,nan,quechee
city,12814,nan,devens
city,12827,nan,kensington
city,13211,nan,little compton
city,14881,nan,marstons mills
city,14962,nan,aguadilla
city,15168,nan,washington
city,15331,nan,east vassalboro
city,16702,nan,pine valley
city,17989,nan,bloomfield
city,19880,nan,leeds
city,19939,nan,annapolis
state,69,nan,djc
state,1155,nan,t
state,1736,nan,fri
state,3659,nan,h
state,4976,nan,nij
state,5262,nan,ar
state,5596,nan,a
state,5867,nan,mri
state,6580,nan,nh
state,6950,nan,a
state,7690,nan,h
state,7931,nan,lct
state,9983,nan,dmd
state,10131,nan,ode
state,10162,nan,cnh
state,12135,nan,cde
state,12593,nan,cnh
state,13021,nan,r
state,14362,nan,a
state,14807,nan,qme
state,14850,nan,nij
state,14885,nan,jn
state,14890,nan,ar
state,15030,nan,jn
state,15440,nan,tv
state,15581,nan,t
state,16494,nan,ar
state,17492,nan,t
state,18148,nan,dc
state,18696,nan,mri
state,18727,nan,cdc
state,19235,nan,ar
state,19405,nan,mde
singleexemp,253,nan,0
singleexemp,255,nan,0
singleexemp,1306,nan,0
singleexemp,2209,nan,0
singleexemp,2538,nan,0
singleexemp,2599,nan,0
singleexemp,3128,nan,0
singleexemp,3354,nan,0
singleexemp,3391,nan,0
singleexemp,3518,nan,0
singleexemp,3603,nan,0
singleexemp,4995,nan,0
singleexemp,5058,nan,0
singleexemp,5327,nan,0
singleexemp,5587,nan,0
singleexemp,5987,nan,0
singleexemp,6082,nan,0
singleexemp,6451,nan,0
singleexemp,6566,nan,0
singleexemp,6921,nan,0
singleexemp,7085,nan,0
singleexemp,7190,nan,0
singleexemp,7418,nan,0
