Attribute,Index,Clean Value,Cleaned Value
gender,359,f,m
gender,439,f,m
gender,568,m,***
gender,684,m,fm
gender,965,f,sf
gender,993,m,um
gender,1321,f,***
gender,1504,f,m
gender,1514,m,f
gender,1789,m,***
gender,2172,f,***
gender,2899,f,wf
gender,3129,f,tf
gender,3166,f,***
gender,3391,f,m
gender,3430,f,mf
gender,3738,f,m
gender,3953,m,hm
gender,4114,f,m
gender,4231,f,m
gender,4314,f,m
gender,4345,f,qf
gender,4489,m,f
gender,4759,f,yf
gender,4961,f,***
gender,5002,f,xf
gender,5261,f,m
gender,5323,m,f
gender,5328,m,f
gender,5501,f,***
gender,5626,f,***
gender,5653,m,***
gender,5670,f,m
gender,5772,m,f
gender,5794,m,tm
gender,5855,f,m
gender,5971,f,mf
gender,6399,m,***
gender,6477,f,cf
gender,6496,f,m
gender,6658,f,m
gender,6836,f,***
gender,6960,m,em
gender,7250,f,hf
gender,7342,f,m
gender,7431,f,***
gender,7486,f,xf
gender,7926,f,m
gender,8006,f,ef
gender,8531,f,m
gender,9016,m,f
gender,9248,f,bf
gender,9519,f,***
gender,10131,m,f
gender,10169,f,m
gender,10388,f,***
gender,10435,f,wf
gender,10578,f,m
gender,10616,f,af
gender,10620,f,gf
gender,10746,f,***
gender,10782,f,ef
gender,10853,f,***
gender,11069,f,m
gender,11119,m,f
gender,11429,f,m
gender,11494,f,***
gender,11501,m,f
gender,11603,f,gf
gender,11672,f,rf
gender,11790,f,m
gender,11868,f,ef
gender,12013,m,***
gender,12188,f,***
gender,12335,f,m
gender,12509,f,ef
gender,12622,f,m
gender,12867,m,f
gender,13051,m,f
gender,13054,f,***
gender,13264,f,m
gender,13285,f,m
gender,13365,f,m
gender,13510,f,wf
gender,13542,f,***
gender,13750,f,m
gender,13835,m,am
gender,13894,f,***
gender,14137,m,nm
gender,14433,f,m
gender,14641,f,***
gender,14684,m,um
gender,14798,f,tf
gender,15004,m,f
gender,15066,m,***
gender,15296,f,zf
gender,15352,f,***
gender,15491,f,of
gender,15611,f,***
gender,15639,f,uf
gender,15643,f,***
gender,15803,m,***
gender,15969,m,f
gender,16173,f,***
gender,16563,f,vf
gender,16678,f,***
gender,16839,f,cf
gender,16922,f,m
gender,17001,f,***
gender,17018,f,***
gender,17020,f,yf
gender,17140,f,lf
gender,17237,f,kf
gender,17248,m,f
gender,17383,f,m
gender,17920,f,cf
gender,17965,m,***
gender,18108,f,m
gender,18267,f,ef
gender,18420,m,f
gender,18575,m,f
gender,18773,f,m
gender,18782,m,f
gender,18852,f,***
gender,18931,f,***
gender,19089,m,f
gender,19138,m,***
gender,19349,f,***
gender,19368,f,m
gender,19503,m,f
gender,19569,f,m
gender,19658,f,***
gender,19681,f,***
gender,19697,m,f
gender,19712,f,kf
