Attribute,Index,Clean Value,Dirty Value
surname,45,derby,nan
surname,52,jungst,nan
surname,224,aigrain,agirain
surname,226,aigrain,aigrgain
surname,243,aigrain,aigrani
surname,267,aigrain,agirain
surname,293,benaini,beanini
surname,362,aigrain,iagrain
surname,384,rensink,rensnik
surname,446,aigrain,agrain
surname,567,kavasseri,nan
surname,579,godo,gdo
surname,632,aigrain,aigrin
surname,665,aigrain,aigain
surname,722,devroye,devroeye
surname,779,benaini,beniani
surname,814,aigrain,aigdrain
surname,868,spehner,spehnker
surname,997,aigrain,airgain
surname,1059,gove,gvoe
surname,1088,aigrain,amigrain
surname,1191,aigrain,aigrani
surname,1192,noltemeier,nan
surname,1248,guyton,nan
surname,1253,kwasny,kawsny
surname,1284,strevell,nan
surname,1328,musselman,musselmamn
surname,1333,aigrain,agrain
surname,1363,aigrain,aigrian
surname,1403,mccain,nan
surname,1436,sezan,nan
surname,1457,hudelmaier,nan
surname,1468,aigrain,igrain
surname,1502,aigrain,iagrain
surname,1734,aigrain,aigrian
surname,1751,cagman,cgaman
surname,1798,aigrain,agrain
surname,1841,hofstetter,hofstettedr
surname,1865,aigrain,agrain
surname,1923,blix,blxi
surname,1953,aigrain,aigain
surname,1978,harloff,harlaoff
surname,2014,ghezal,nan
surname,2031,aigrain,igrain
surname,2064,aigrain,nan
surname,2084,aigrain,agirain
surname,2172,hudelmaier,nan
surname,2192,sherratt,nan
surname,2231,aigrain,aigarin
surname,2256,walrath,nan
surname,2329,musselman,umsselman
surname,2380,aigrain,aigran
surname,2388,aigrain,aigrani
surname,2410,aigrain,aigran
surname,2500,aigrain,airgrain
surname,2504,pierro,peirro
surname,2515,aigrain,aigain
surname,2529,aigrain,agrain
surname,2595,aigrain,agrain
surname,2679,maxson,nan
surname,2744,aigrain,zaigrain
surname,2824,aigrain,aigrani
surname,2842,aigrain,aiigrain
surname,2964,lesperance,nan
surname,2973,valette,vlette
surname,3111,aigrain,aigrin
surname,3213,kavvadias,kvavadias
surname,3309,aigrain,aigrlain
surname,3406,aigrain,aigraicn
surname,3427,aigrain,anigrain
surname,3435,aigrain,aigraixn
surname,3453,aigrain,jaigrain
surname,3462,aigrain,aigrgain
surname,3464,aigrain,igrain
surname,3499,aigrain,aiegrain
surname,3774,gewali,ewali
surname,3784,sezan,nan
surname,3816,kolvik,kolvki
surname,3840,dighe,nan
surname,3938,aigrain,aigrin
surname,3955,aigrain,aigain
surname,4041,matyska,nan
surname,4053,aigrain,aigraian
surname,4123,aigrain,aigraidn
surname,4315,devroye,nan
surname,4317,scanlon,nan
surname,4321,blaschek,nan
surname,4417,aigrain,aigrani
surname,4438,aigrain,agrain
surname,4448,aigrain,airain
surname,4477,aigrain,aigwrain
surname,4573,rahmat,nan
surname,4693,aigrain,igrain
surname,4792,stolovitch,stolovtch
surname,4844,aigrain,aiqgrain
surname,4901,aigrain,airain
surname,4983,aigrain,agrain
birthyear,32,1986,nan
birthyear,99,1987,nan
