Attribute,Index,Clean Value,Cleaned Value
surname,224,aigrain,agirain
surname,226,aigrain,aigraain
surname,243,aigrain,iagrain
surname,267,aigrain,awigrain
surname,362,aigrain,igrain
surname,446,aigrain,aigrani
surname,632,aigrain,iagrain
surname,665,aigrain,igrain
surname,814,aigrain,aigrani
surname,997,aigrain,aigrani
surname,1088,aigrain,aigarin
surname,1191,aigrain,aigrvain
surname,1333,aigrain,aigrin
surname,1363,aigrain,aiglrain
surname,1468,aigrain,aigrani
surname,1502,aigrain,aigain
surname,1734,aigrain,kaigrain
surname,1767,gnutzmann,gnutzann
surname,1798,aigrain,igrain
surname,1865,aigrain,aigrani
surname,1953,aigrain,aigrainn
surname,2031,aigrain,airgain
surname,2064,aigrain,aigrsain
surname,2084,aigrain,aicgrain
surname,2231,aigrain,yaigrain
surname,2380,aigrain,aigramin
surname,2388,aigrain,aigran
surname,2410,aigrain,airgrain
surname,2500,aigrain,maigrain
surname,2515,aigrain,aigarin
surname,2529,aigrain,aigran
surname,2595,aigrain,airain
surname,2744,aigrain,aiqgrain
surname,2818,specker,spcker
surname,2824,aigrain,aigrarin
surname,2842,aigrain,agirain
surname,3111,aigrain,igrain
surname,3309,aigrain,iagrain
surname,3406,aigrain,aigain
surname,3427,aigrain,aigrainn
surname,3435,aigrain,airain
surname,3453,aigrain,aigrian
surname,3462,aigrain,aiugrain
surname,3464,aigrain,igrain
surname,3499,aigrain,airgain
surname,3748,buttyan,buttyan***
surname,3821,cun,cnu
surname,3938,aigrain,airain
surname,3955,aigrain,agrain
surname,4053,aigrain,yaigrain
surname,4123,aigrain,iagrain
surname,4417,aigrain,aigain
surname,4438,aigrain,xaigrain
surname,4448,aigrain,aigraifn
surname,4477,aigrain,aigran
surname,4693,aigrain,aigraikn
surname,4844,aigrain,airain
surname,4901,aigrain,agrain
surname,4983,aigrain,aiglrain
birthyear,47,1991,199i1
birthyear,86,1980,980
birthyear,449,1994,19f94
birthyear,505,1976,1h976
birthyear,643,1993,193
birthyear,705,1984,194
birthyear,785,1979,199
birthyear,1473,1989,989
birthyear,1572,1990,199n0
birthyear,2286,1979,1997
birthyear,2716,1997,197
birthyear,4096,1979,199
birthyear,4326,1980,980
birthyear,4618,1975,1795
position,456,goalkeeper,goalkeper
position,552,midfield,goalkeeper
position,627,forward,midfield
position,755,defender,goalkeeper
position,1942,defender,defedner
position,2265,defender,defendehr
position,2391,defender,dfender
position,2396,defender,edfender
position,2544,goalkeeper,defender
position,2739,forward,midfield
position,3052,defender,efender
position,3066,defender,drefender
position,3694,defender,derfender
position,3902,forward,fokrward
position,3966,defender,defener
position,4193,midfield,defender
position,4307,defender,dlefender
position,4738,goalkeeper,midfield
position,4828,defender,defenedr
position,4924,defender,defenoder
team,30,acf_fiorentina,fc_dinamo_bucuresti
team,203,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,210,acf_fiorentina,fc_dinamo_bucuresti
team,276,acf_fiorentina,fc_dinamo_bucuresti
team,324,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,342,acf_fiorentina,fc_dinamo_bucuresti
team,347,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,371,acf_fiorentina,fc_dinamo_bucuresti
team,386,acf_fiorentina,fc_dinamo_bucuresti
team,392,acf_fiorentina,fc_dinamo_bucuresti
team,394,acf_fiorentina,fc_dinamo_bucuresti
team,407,acf_fiorentina,fc_dinamo_bucuresti
team,415,acf_fiorentina,fc_dinamo_bucuresti
team,490,p.a.o.k_fc,p..ao.k_fc
team,491,acf_fiorentina,fc_dinamo_bucuresti
team,533,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,565,acf_fiorentina,fc_dinamo_bucuresti
team,567,acf_fiorentina,fc_dinamo_bucuresti
team,590,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,670,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,707,acf_fiorentina,fc_dinamo_bucuresti
team,716,fc_anzhi_makhachkala,fc_alnzhi_makhachkala
team,745,acf_fiorentina,fc_dinamo_bucuresti
team,783,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,788,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,825,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,826,acf_fiorentina,fc_dinamo_bucuresti
team,879,acf_fiorentina,fc_dinamo_bucuresti
team,901,acf_fiorentina,fc_dinamo_bucuresti
team,910,acf_fiorentina,fc_dinamo_bucuresti
team,996,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,1041,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,1103,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,1140,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,1165,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,1178,acf_fiorentina,fc_dinamo_bucuresti
team,1286,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,1336,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,1337,acf_fiorentina,fc_dinamo_bucuresti
team,1404,acf_fiorentina,fc_dinamo_bucuresti
team,1406,acf_fiorentina,fc_dinamo_bucuresti
team,1425,acf_fiorentina,fc_dinamo_bucuresti
team,1448,acf_fiorentina,fc_dinamo_bucuresti
team,1517,acf_fiorentina,fc_dinamo_bucuresti
team,1572,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,1574,acf_fiorentina,fc_dinamo_bucuresti
team,1575,acf_fiorentina,fc_dinamo_bucuresti
team,1577,acf_fiorentina,fc_dinamo_bucuresti
team,1583,acf_fiorentina,fc_dinamo_bucuresti
team,1598,acf_fiorentina,fc_dinamo_bucuresti
team,1619,acf_fiorentina,fc_dinamo_bucuresti
team,1622,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,1624,acf_fiorentina,fc_dinamo_bucuresti
