Attribute,Index,Dirty Value,Cleaned Value,Clean Value
surname,3309,nan,aigain,aigrain
position,231,nmidfield,goalkeeper,midfield
position,338,nan,defender,midfield
position,838,nan,midfield,defender
position,1942,efender,forward,defender
position,2088,nan,midfield,forward
position,2739,fworward,midfield,forward
position,2843,goaleeper,defender,goalkeeper
position,3103,midhfield,defender,midfield
position,3409,nan,defender,goalkeeper
position,3694,defenzder,forward,defender
position,3900,nan,defender,goalkeeper
position,4401,forwrad,midfield,forward
position,4460,nan,midfield,defender
position,4540,nan,defender,midfield
stadium,1530,nan,king_power_stadium,allianz_arena_olympic_stadium_munich
