Attribute,Index,Dirty Value,Clean Value
surname,141,alpuenet,alpuente
surname,181,aluente,alpuente
surname,203,alpeunte,alpuente
surname,224,igrain,aigrain
surname,226,aigain,aigrain
surname,243,aigrafin,aigrain
surname,267,igrain,aigrain
surname,287,ralpuente,alpuente
surname,362,iagrain,aigrain
surname,446,aigrian,aigrain
surname,632,aigrbain,aigrain
surname,639,alpuewnte,alpuente
surname,665,gaigrain,aigrain
surname,670,alpueente,alpuente
surname,675,alqpuente,alpuente
surname,814,caigrain,aigrain
surname,997,aigranin,aigrain
surname,1088,aigryain,aigrain
surname,1191,aaigrain,aigrain
surname,1218,lapuente,alpuente
surname,1272,lpuente,alpuente
surname,1297,alpuene,alpuente
surname,1333,agrain,aigrain
surname,1363,aigurain,aigrain
surname,1417,lapuente,alpuente
surname,1468,aijgrain,aigrain
surname,1477,alpunete,alpuente
surname,1491,falpuente,alpuente
surname,1502,aiygrain,aigrain
surname,1598,jquitte,quitte
surname,1734,agrain,aigrain
surname,1745,ialpuente,alpuente
surname,1798,igrain,aigrain
surname,1865,aigrin,aigrain
surname,1912,alpunte,alpuente
surname,1953,aigarin,aigrain
surname,1966,nurmev,nurmeev
surname,1982,alpuenet,alpuente
surname,2031,aigarin,aigrain
surname,2064,azigrain,aigrain
surname,2084,airgain,aigrain
surname,2134,alpuenet,alpuente
surname,2180,alpuetne,alpuente
surname,2231,agrain,aigrain
surname,2247,mulusznyski,muluszynski
surname,2380,igrain,aigrain
surname,2388,aigran,aigrain
surname,2410,aigrvain,aigrain
surname,2500,aigrani,aigrain
surname,2515,aigraian,aigrain
surname,2529,auigrain,aigrain
surname,2595,aigrani,aigrain
surname,2602,alpuenpte,alpuente
surname,2725,lpuente,alpuente
surname,2744,aigrin,aigrain
surname,2824,aigarin,aigrain
surname,2842,agirain,aigrain
surname,2893,alcpuente,alpuente
surname,2906,gevitni,gevinti
surname,2910,apuente,alpuente
surname,2935,arlpuente,alpuente
surname,3047,alpunete,alpuente
surname,3111,aigrani,aigrain
surname,3129,blaschiek,blaschek
surname,3226,kraezl,kraetzl
surname,3309,aiggrain,aigrain
surname,3344,alpuentke,alpuente
surname,3348,lpuente,alpuente
surname,3388,alpunete,alpuente
surname,3389,aalpuente,alpuente
surname,3406,aigraain,aigrain
surname,3427,agirain,aigrain
surname,3435,aigtrain,aigrain
surname,3453,aigravin,aigrain
surname,3462,iagrain,aigrain
surname,3464,aigarin,aigrain
surname,3499,aigraipn,aigrain
surname,3621,alpeunte,alpuente
surname,3703,alpeunte,alpuente
surname,3790,alpuemnte,alpuente
surname,3825,algpuente,alpuente
surname,3925,aluente,alpuente
surname,3938,igrain,aigrain
surname,3955,aigrsain,aigrain
surname,4004,ualpuente,alpuente
surname,4006,alpuernte,alpuente
surname,4053,aigarin,aigrain
surname,4118,alpunete,alpuente
surname,4123,aigrin,aigrain
surname,4417,aigrarin,aigrain
surname,4438,iagrain,aigrain
surname,4448,aigran,aigrain
surname,4477,aidgrain,aigrain
surname,4526,alpunte,alpuente
surname,4693,aigraiqn,aigrain
surname,4753,lpuente,alpuente
surname,4817,alpuenet,alpuente
surname,4844,aigarin,aigrain
surname,4901,aigrian,aigrain
surname,4983,acigrain,aigrain
birthyear,379,178,1978
birthyear,428,1896,1986
birthyear,466,991,1991
birthyear,490,b1978,1978
birthyear,636,1o978,1978
birthyear,657,1o990,1990
birthyear,675,193,1983
birthyear,842,197,1997
birthyear,874,199h7,1997
birthyear,1000,19p91,1991
birthyear,1098,1987,1978
birthyear,1108,190,1990
birthyear,1136,1987,1978
birthyear,1202,1919,1991
birthyear,1368,1990***,1990
birthyear,1430,1892,1982
birthyear,1604,19d78,1978
birthyear,1639,19x91,1991
birthyear,1745,v1983,1983
birthyear,1861,9178,1978
birthyear,1879,1987,1978
birthyear,1881,997,1997
birthyear,1942,978,1978
birthyear,1994,991,1991
birthyear,2012,19n90,1990
birthyear,2053,990,1990
birthyear,2150,1798,1978
birthyear,2239,190,1990
birthyear,2265,978,1978
birthyear,2282,x1978,1978
birthyear,2326,1892,1982
birthyear,2391,978,1978
birthyear,2396,1987,1978
birthyear,2459,198l2,1982
birthyear,2517,991,1991
