Attribute,Index,Clean Value,Cleaned Value
sched_dep_time,3,06:30 PM,063:0 PM
sched_dep_time,4,06:40 AM,0:40 AM
sched_dep_time,11,10:45 AM,104:5 AM
sched_dep_time,14,07:30 AM,073:0 AM
sched_dep_time,16,09:05 AM,090:5 AM
sched_dep_time,20,11:35 AM,11:3 AM
sched_dep_time,34,08:25 PM,0i8:25 PM
sched_dep_time,35,06:59 AM,06:5k9 AM
sched_dep_time,47,04:00 PM,04:00 jPM
sched_dep_time,53,06:40 AM,0:40 AM
sched_dep_time,54,08:00 AM,08:00 AqM
sched_dep_time,64,04:00 PM,040:0 PM
sched_dep_time,67,09:05 AM,090:5 AM
sched_dep_time,71,10:45 AM,104:5 AM
sched_dep_time,88,05:25 PM,05:25 sPM
sched_dep_time,94,06:30 PM,063:0 PM
sched_dep_time,97,07:15 PM,07:15PM
sched_dep_time,104,03:50 PM,03:50n PM
sched_dep_time,116,08:25 PM,0i8:25 PM
sched_dep_time,117,06:59 AM,06:5k9 AM
sched_dep_time,126,11:15 AM,11:15 MA
sched_dep_time,136,09:05 AM,09g:05 AM
sched_dep_time,140,07:30 AM,073:0 AM
sched_dep_time,141,04:00 PM,04:00 jPM
sched_dep_time,142,11:35 AM,11:3 AM
sched_dep_time,147,04:00 PM,empty
sched_dep_time,153,06:40 AM,0:40 AM
sched_dep_time,154,08:00 AM,08:00 AqM
sched_dep_time,164,04:00 PM,040:0 PM
sched_dep_time,167,09:05 AM,090:5 AM
sched_dep_time,171,10:45 AM,104:5 AM
sched_dep_time,188,05:25 PM,05:25 sPM
sched_dep_time,194,06:30 PM,063:0 PM
sched_dep_time,196,07:15 PM,07:15PM
sched_dep_time,202,03:50 PM,03:50n PM
sched_dep_time,214,08:25 PM,0i8:25 PM
sched_dep_time,215,06:59 AM,06:5k9 AM
sched_dep_time,224,11:15 AM,11:15 MA
sched_dep_time,234,09:05 AM,09g:05 AM
sched_dep_time,238,07:30 AM,073:0 AM
sched_dep_time,240,04:00 PM,04:00 jPM
sched_dep_time,241,11:35 AM,11:3 AM
sched_dep_time,252,06:40 AM,0:40 AM
sched_dep_time,253,08:00 AM,08:00 AqM
sched_dep_time,256,06:30 PM,063:0 PM
sched_dep_time,264,04:00 PM,040:0 PM
sched_dep_time,275,10:45 AM,104:5 AM
sched_dep_time,277,07:30 AM,073:0 AM
sched_dep_time,280,09:05 AM,090:5 AM
sched_dep_time,284,11:35 AM,11:3 AM
sched_dep_time,290,07:15 PM,07:15PM
sched_dep_time,295,03:50 PM,03:50n PM
sched_dep_time,305,08:25 PM,0i8:25 PM
sched_dep_time,306,06:59 AM,06:5k9 AM
sched_dep_time,314,11:15 AM,11:15 MA
sched_dep_time,324,09:05 AM,09g:05 AM
sched_dep_time,329,04:00 PM,04:00 jPM
sched_dep_time,340,06:40 AM,0:40 AM
sched_dep_time,341,08:00 AM,08:00 AqM
sched_dep_time,351,04:00 PM,040:0 PM
sched_dep_time,354,09:05 AM,090:5 AM
sched_dep_time,358,10:45 AM,104:5 AM
sched_dep_time,362,11:50 AM,empty
sched_dep_time,375,05:25 PM,05:25 sPM
sched_dep_time,381,06:30 PM,063:0 PM
sched_dep_time,384,07:15 PM,07:15PM
sched_dep_time,391,03:50 PM,03:50n PM
sched_dep_time,403,08:25 PM,0i8:25 PM
sched_dep_time,404,06:59 AM,06:5k9 AM
sched_dep_time,413,11:15 AM,11:15 MA
sched_dep_time,423,09:05 AM,09g:05 AM
sched_dep_time,427,07:30 AM,073:0 AM
sched_dep_time,428,04:00 PM,04:00 jPM
sched_dep_time,429,11:35 AM,11:3 AM
sched_dep_time,440,06:40 AM,0:40 AM
sched_dep_time,441,08:00 AM,08:00 AqM
sched_dep_time,451,04:00 PM,040:0 PM
sched_dep_time,454,09:05 AM,090:5 AM
sched_dep_time,458,10:45 AM,104:5 AM
sched_dep_time,475,05:25 PM,05:25 sPM
sched_dep_time,481,06:30 PM,063:0 PM
sched_dep_time,483,07:15 PM,07:15PM
sched_dep_time,489,03:50 PM,03:50n PM
sched_dep_time,501,08:25 PM,0i8:25 PM
sched_dep_time,502,06:59 AM,06:5k9 AM
sched_dep_time,511,11:15 AM,11:15 MA
sched_dep_time,521,09:05 AM,09g:05 AM
sched_dep_time,525,07:30 AM,073:0 AM
sched_dep_time,527,04:00 PM,04:00 jPM
sched_dep_time,528,11:35 AM,11:3 AM
sched_dep_time,540,06:40 AM,0:40 AM
sched_dep_time,541,08:00 AM,08:00 AqM
sched_dep_time,545,06:30 PM,063:0 PM
sched_dep_time,551,04:00 PM,040:0 PM
sched_dep_time,557,09:05 AM,090:5 AM
sched_dep_time,559,05:25 PM,05:25 sPM
sched_dep_time,568,07:30 AM,073:0 AM
sched_dep_time,575,11:35 AM,11:3 AM
sched_dep_time,583,07:15 PM,07:15PM
sched_dep_time,590,03:50 PM,03:50n PM
sched_dep_time,601,08:25 PM,0i8:25 PM
sched_dep_time,603,06:59 AM,06:5k9 AM
sched_dep_time,610,11:15 AM,11:15 MA
sched_dep_time,622,04:00 PM,04:00 jPM
sched_dep_time,624,02:55 PM,02:5 PM
sched_dep_time,632,06:40 AM,0:40 AM
sched_dep_time,633,08:00 AM,08:00 AqM
sched_dep_time,643,04:00 PM,040:0 PM
sched_dep_time,646,09:05 AM,090:5 AM
sched_dep_time,650,10:45 AM,104:5 AM
sched_dep_time,667,05:25 PM,05:25 sPM
sched_dep_time,673,06:30 PM,063:0 PM
sched_dep_time,675,07:15 PM,07:15PM
sched_dep_time,681,03:50 PM,03:50n PM
sched_dep_time,693,08:25 PM,0i8:25 PM
sched_dep_time,694,06:59 AM,06:5k9 AM
sched_dep_time,703,11:15 AM,11:15 MA
sched_dep_time,713,09:05 AM,09g:05 AM
sched_dep_time,717,07:30 AM,073:0 AM
sched_dep_time,719,04:00 PM,04:00 jPM
sched_dep_time,720,11:35 AM,11:3 AM
sched_dep_time,726,04:00 PM,empty
sched_dep_time,733,08:00 AM,08:00 AqM
sched_dep_time,735,06:30 PM,063:0 PM
sched_dep_time,744,09:05 AM,090:5 AM
sched_dep_time,750,07:30 AM,073:0 AM
sched_dep_time,755,11:35 AM,11:3 AM
sched_dep_time,769,10:45 AM,104:5 AM
sched_dep_time,774,08:25 PM,0i8:25 PM
sched_dep_time,775,06:59 AM,06:5k9 AM
sched_dep_time,794,06:59 AM,06:5k9 AM
sched_dep_time,800,08:25 PM,0i8:25 PM
sched_dep_time,806,06:30 PM,063:0 PM
sched_dep_time,814,06:40 AM,0:40 AM
sched_dep_time,815,08:00 AM,08:00 AqM
sched_dep_time,825,04:00 PM,040:0 PM
sched_dep_time,828,09:05 AM,090:5 AM
sched_dep_time,832,10:45 AM,104:5 AM
sched_dep_time,849,05:25 PM,05:25 sPM
sched_dep_time,855,06:30 PM,063:0 PM
sched_dep_time,857,07:15 PM,07:15PM
sched_dep_time,863,03:50 PM,03:50n PM
sched_dep_time,875,08:25 PM,0i8:25 PM
sched_dep_time,876,06:59 AM,06:5k9 AM
sched_dep_time,885,11:15 AM,11:15 MA
sched_dep_time,887,02:55 PM,0:55 PM
sched_dep_time,895,09:05 AM,09g:05 AM
sched_dep_time,899,07:30 AM,073:0 AM
sched_dep_time,901,04:00 PM,04:00 jPM
sched_dep_time,902,11:35 AM,11:3 AM
sched_dep_time,913,06:30 PM,063:0 PM
sched_dep_time,928,09:05 AM,090:5 AM
sched_dep_time,929,11:35 AM,11:3 AM
sched_dep_time,933,07:15 PM,07:15PM
sched_dep_time,935,03:50 PM,03:50n PM
sched_dep_time,940,10:40 AM,empty
sched_dep_time,944,08:25 PM,0i8:25 PM
sched_dep_time,951,11:15 AM,11:15 MA
sched_dep_time,960,09:05 AM,09g:05 AM
sched_dep_time,964,04:00 PM,04:00 jPM
sched_dep_time,973,06:30 PM,063:0 PM
sched_dep_time,979,08:25 PM,0i8:25 PM
sched_dep_time,980,07:15 PM,07:15PM
sched_dep_time,981,05:25 PM,05:25 sPM
sched_dep_time,982,04:00 PM,04:00 jPM
sched_dep_time,991,06:40 AM,0:40 AM
sched_dep_time,992,08:00 AM,08:00 AqM
