Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: beer_name, MSE: nan, Jaccard: 0.018916595012897663
Attribute: style, MSE: nan, Jaccard: 0.03883495145631066
Attribute: ounces, MSE: nan, Jaccard: 0.0
Attribute: abv, MSE: nan, Jaccard: 0.0
Attribute: ibu, MSE: nan, Jaccard: 0.0
Attribute: brewery_id, MSE: nan, Jaccard: 0.03538955399827015
Attribute: brewery_name, MSE: nan, Jaccard: 0.05334018995937406
Attribute: city, MSE: nan, Jaccard: 0.049187566886621514
Attribute: state, MSE: nan, Jaccard: 0.049908022810913444
加权混合距离: 0.011162585460199432
