Attribute,Index,Clean Value,Dirty Value
beer_name,1535,kentucky k?lsch,kentucky kölsch
beer_name,1738,"the kimmie, the yink and the holy gose",the kimmie the yink and the holy gose
beer_name,1640,aslan k?lsch,aslan kölsch
beer_name,1408,k?lsch 151,kölsch 151
beer_name,2204,post time k?lsch,post time kölsch
beer_name,1802,"you're my boy, blue",you're my boy blue
beer_name,2654,32°/50° k?lsch,32°/50° kölsch
beer_name,129,heiner brau k?lsch,heiner brau kölsch
beer_name,1804,mj?llnir,mjöllnir
beer_name,1452,laimas k?lsch style ale,laimas kölsch style ale
beer_name,2309,sunbru k?lsch,sunbru kölsch
beer_name,178,sunbru k?lsch,sunbru kölsch
beer_name,1034,cabrillo k?lsch,cabrillo kölsch
beer_name,2142,screamin??pumpkin,screamin�?pumpkin
beer_name,1615,the 12th can??american pale ale (apa),the 12th can�?american pale ale (apa)
beer_name,195,lancaster german style k?lsch,lancaster german style kölsch
beer_name,1081,occidental k?lsch,occidental kölsch
beer_name,1796,the crowler??,the crowler�?
beer_name,1087,side kick k?lsch,side kick kölsch
beer_name,1760,greybeard??ipa,greybeard�?ipa
beer_name,92,colorado k?lsch,colorado kölsch
beer_name,105,k?ld lager (2010),köld lager (2010)
beer_name,936,loafin br?u,loafin bräu
style,2217,k?lsch,kölsch
style,1535,k?lsch,kölsch
style,550,k?lsch,kölsch
style,1640,k?lsch,kölsch
style,1579,m?rzen / oktoberfest,märzen / oktoberfest
style,1401,k?lsch,kölsch
style,1408,k?lsch,kölsch
style,1613,m?rzen / oktoberfest,märzen / oktoberfest
style,1281,m?rzen / oktoberfest,märzen / oktoberfest
style,2204,k?lsch,kölsch
style,2654,k?lsch,kölsch
style,427,k?lsch,kölsch
style,2055,k?lsch,kölsch
style,2019,k?lsch,kölsch
style,2079,m?rzen / oktoberfest,märzen / oktoberfest
style,2011,m?rzen / oktoberfest,märzen / oktoberfest
style,2438,k?lsch,kölsch
style,129,k?lsch,kölsch
style,681,k?lsch,kölsch
style,1311,k?lsch,kölsch
style,1452,k?lsch,kölsch
style,1968,k?lsch,kölsch
style,2659,k?lsch,kölsch
style,2309,k?lsch,kölsch
style,178,k?lsch,kölsch
style,1300,k?lsch,kölsch
style,1034,k?lsch,kölsch
style,930,m?rzen / oktoberfest,märzen / oktoberfest
style,539,m?rzen / oktoberfest,märzen / oktoberfest
style,2461,m?rzen / oktoberfest,märzen / oktoberfest
style,1567,m?rzen / oktoberfest,märzen / oktoberfest
style,1380,k?lsch,kölsch
style,1313,m?rzen / oktoberfest,märzen / oktoberfest
style,769,k?lsch,kölsch
style,192,k?lsch,kölsch
style,989,m?rzen / oktoberfest,märzen / oktoberfest
style,2383,m?rzen / oktoberfest,märzen / oktoberfest
style,1458,m?rzen / oktoberfest,märzen / oktoberfest
style,1235,k?lsch,kölsch
style,195,k?lsch,kölsch
style,475,k?lsch,kölsch
style,1816,k?lsch,kölsch
style,1626,m?rzen / oktoberfest,märzen / oktoberfest
style,2662,k?lsch,kölsch
style,1617,m?rzen / oktoberfest,märzen / oktoberfest
style,314,m?rzen / oktoberfest,märzen / oktoberfest
style,1081,k?lsch,kölsch
style,696,k?lsch,kölsch
style,1087,k?lsch,kölsch
style,417,m?rzen / oktoberfest,märzen / oktoberfest
style,1992,m?rzen / oktoberfest,märzen / oktoberfest
style,2373,m?rzen / oktoberfest,märzen / oktoberfest
style,1552,k?lsch,kölsch
style,1864,k?lsch,kölsch
style,1995,m?rzen / oktoberfest,märzen / oktoberfest
style,307,m?rzen / oktoberfest,märzen / oktoberfest
style,166,m?rzen / oktoberfest,märzen / oktoberfest
style,1798,k?lsch,kölsch
style,1482,m?rzen / oktoberfest,märzen / oktoberfest
style,1969,k?lsch,kölsch
style,369,m?rzen / oktoberfest,märzen / oktoberfest
style,92,k?lsch,kölsch
style,1357,m?rzen / oktoberfest,märzen / oktoberfest
style,650,k?lsch,kölsch
style,456,m?rzen / oktoberfest,märzen / oktoberfest
style,1410,k?lsch,kölsch
style,874,m?rzen / oktoberfest,märzen / oktoberfest
style,526,m?rzen / oktoberfest,märzen / oktoberfest
style,2035,k?lsch,kölsch
style,1042,m?rzen / oktoberfest,märzen / oktoberfest
style,1645,m?rzen / oktoberfest,märzen / oktoberfest
style,1514,k?lsch,kölsch
brewery_id,2518,267,67
brewery_name,1502,2 towns ciderhouse,empty
brewery_name,2679,against the grain brewery,against thej grain brewery
brewery_name,2678,against the grain brewery,againt the grain brewery
brewery_name,2677,against the grain brewery,against the grain breery
brewery_name,2676,against the grain brewery,againstthe grain brewery
brewery_name,2675,against the grain brewery,against the grain brewwery
brewery_name,2674,against the grain brewery,against thle grain brewery
brewery_name,1711,big sky brewing company,big sky rbewing company
brewery_name,2636,brewery vivant,breewery vivant
brewery_name,2598,brewery vivant,brewery viavant
brewery_name,2597,brewery vivant,breweryu vivant
brewery_name,2548,brewery vivant,breery vivant
brewery_name,2542,brewery vivant,brewery vivatn
brewery_name,2541,brewery vivant,breewry vivant
brewery_name,668,butcher's brewing,butchre''s brewing
brewery_name,791,caldera brewing company,calderca brewing company
brewery_name,2257,cambridge brewing company,empty
brewery_name,2227,capital brewery,empty
brewery_name,659,crabtree brewing company,empty
brewery_name,1689,crazy mountain brewing company,crazy mountain brewing kcompany
brewery_name,1213,denali brewing company,empty
brewery_name,358,four peaks brewing company,our peaks brewing company
brewery_name,1108,good life brewing company,good life brewing companhy
brewery_name,2648,great divide brewing company,empty
brewery_name,517,great river brewery,empty
brewery_name,1984,meckley's cidery,empty
brewery_name,776,milwaukee brewing company,empty
brewery_name,408,mother earth brewing company,mother earth brewing compalny
brewery_name,1431,odyssey beerwerks,oyssey beerwerks
brewery_name,609,revolution brewing company,revolution brewig company
brewery_name,2001,sun king brewing company,sucn king brewing company
brewery_name,2455,the lion brewery,empty
brewery_name,2445,tr?egs brewing company,tröegs brewing company
brewery_name,2444,tr?egs brewing company,tröegs brewing company
brewery_name,2203,tr?egs brewing company,tröegs brewing company
brewery_name,1510,tr?egs brewing company,tröegs brewing company
brewery_name,1509,tr?egs brewing company,tröegs brewing company
brewery_name,1659,two beers brewing company,tow beers brewing company
brewery_name,1438,two beers brewing company,empty
brewery_name,2572,white birch brewing,empty
brewery_name,2417,"woodstock inn, station & brewery",woodstock inn station & brewery
brewery_name,2306,"woodstock inn, station & brewery",woodstock inn station & brewery
city,1583,dunedin,empty
city,1322,boulder,empty
city,2058,bloomfield,bloomfild
city,1727,eagle,agle
city,1947,grand rapids,rand rapids
city,1785,grand rapids,gran drapids
city,1651,grand rapids,rgand rapids
city,1443,grand rapids,gand rapids
city,1352,grand rapids,grand rapwids
city,1267,grand rapids,grand raids
city,1266,grand rapids,rand rapids
city,1178,grand rapids,gran rapids
city,1136,grand rapids,gand rapids
city,1044,grand rapids,gran rapids
city,1033,grand rapids,ggrand rapids
city,1031,grand rapids,gradnd rapids
city,2338,nantucket,nntucket
city,129,covington,empty
city,2029,athens,athqens
city,1000,birmingham,birminghma
city,2393,portland,portlnad
city,1231,fort worth,empty
city,33,lahaina,empty
city,2280,monroe,empty
city,2279,monroe,moroe
city,2331,eugene,eugne
city,1759,black mountain,black mountian
city,64,prescott,empty
city,1091,blanco,blajnco
city,623,san diego,empty
city,433,greenville,empty
city,2506,baltimore,empty
city,2571,hooksett,empty
city,928,denver,empty
state,2040,ok,ko
state,2039,ok,k
state,979,or,ro
state,1401,ca,empty
state,1898,ca,ac
state,1897,ca,ac
state,1896,ca,ac
state,2542,mi,empty
state,756,ny,nwy
state,2606,in,empty
state,2025,il,empty
state,1888,il,empty
state,1489,ca,empty
state,1383,co,o
state,476,az,jaz
state,143,az,za
state,142,az,za
state,1379,ma,empty
state,769,ma,empty
state,1904,tx,thx
