Attribute,Index,Dirty Value,Cleaned Value
brewery_id,2540,62,1
brewery_id,2539,62,1
brewery_id,1294,434,141
brewery_id,1579,360,141
brewery_id,2423,103,141
brewery_id,1002,477,141
brewery_id,1847,294,386
brewery_id,2449,95,12
brewery_id,1408,414,382
brewery_id,1890,281,141
brewery_id,2240,10,386
brewery_id,1178,10,141
brewery_id,538,530,141
brewery_id,2252,182,141
brewery_id,1927,267,67
brewery_id,1649,350,141
brewery_id,2079,226,141
brewery_id,2587,39,68
brewery_id,539,365,141
brewery_id,989,479,141
brewery_id,988,479,141
brewery_id,1351,423,3
brewery_id,1834,297,166
brewery_id,2383,120,141
brewery_id,2408,114,141
brewery_id,1571,377,456
brewery_id,962,485,141
brewery_id,1047,448,141
brewery_id,2361,134,141
brewery_id,1952,260,141
brewery_id,2069,184,82
brewery_id,602,471,141
brewery_id,933,166,25
brewery_id,661,166,25
brewery_id,805,503,166
brewery_id,804,503,166
brewery_id,803,503,141
brewery_id,787,503,166
brewery_id,786,503,166
brewery_id,785,503,166
brewery_id,745,503,166
brewery_id,744,503,166
brewery_id,743,503,166
brewery_id,742,503,166
brewery_id,741,503,166
brewery_id,734,503,166
brewery_id,733,503,166
brewery_id,1328,389,166
brewery_id,1175,389,166
brewery_id,1166,389,166
brewery_id,1065,389,166
brewery_id,2559,52,141
brewery_id,1760,324,141
brewery_id,1861,128,61
brewery_id,2580,42,41
brewery_id,2373,43,141
brewery_id,1995,30,141
brewery_id,839,30,141
brewery_id,2305,163,371
brewery_id,2405,115,60
brewery_id,2369,129,141
brewery_id,2352,138,58
brewery_id,2409,61,141
brewery_id,102,45,141
brewery_id,2421,108,103
brewery_id,949,17,141
brewery_id,1042,74,141
brewery_id,346,522,141
brewery_id,345,51,141
brewery_id,2348,132,141
brewery_name,2540,Against The Grain Brewery,Against the Grain Brewery
brewery_name,2539,Against The Grain Brewery,Against the Grain Brewery
brewery_name,1847,Black Shirt Brewing Company,Revolution Brewing
brewery_name,2240,Brewery Vivant,Revolution Brewing
brewery_name,1927,Cape Cod Beer,3 Daughters Brewing
brewery_name,2079,Chatham Brewing,Cigar City Brewing Company
brewery_name,2587,Gonzo's BiggDogg Brewing,Red Shedman Farm Brewery and Hop...
brewery_name,539,Great River Brewery,Cigar City Brewing Company
brewery_name,2181,Hawai''i Ni Brewing Co.,Hawai'i Nui Brewing Co.
brewery_name,1351,Hess Brewing Company,Mike Hess Brewing Company
brewery_name,1834,Hop Farm Brewing Company,Oskar Blues Brewery
brewery_name,2383,Horny Goat Brew Pub,Cigar City Brewing Company
brewery_name,2069,Oasis Texas Brewing Company,New Belgium Brewing Company
brewery_name,933,Oskar Blues Brewery,Sun King Brewing Company
brewery_name,661,Oskar Blues Brewery,Sun King Brewing Company
brewery_name,1328,Oskar Blues Brewery (North Carol...,Oskar Blues Brewery
brewery_name,1175,Oskar Blues Brewery (North Carol...,Oskar Blues Brewery
brewery_name,1166,Oskar Blues Brewery (North Carol...,Oskar Blues Brewery
brewery_name,1065,Oskar Blues Brewery (North Carol...,Oskar Blues Brewery
brewery_name,1861,Real Ale Brewing Company,Surly Brewing Company
brewery_name,2580,Rising Tide Brewing Company,Lost Nation Brewing
brewery_name,2373,Rivertowne Brewing Company,Cigar City Brewing Company
brewery_name,1995,SanTan Brewing Company,Cigar City Brewing Company
brewery_name,2405,Smartmouth Brewing Company,4 Hands Brewing Company
brewery_name,361,TailGajte Beer,TailGate Beer
brewery_name,2421,Thomas Hooker Brewing Company,Beer Works Brewery
city,2258,empty,Gary
city,1474,Washougal,WA
city,1473,Wasfhougal,WA
city,837,Washougal,WA
city,409,Hayward,Haywbard
city,1294,Cincinnati,Tampa
city,1579,Fuquay-Varina,Tampa
city,1426,Bwloomfield,Bloomfield
city,2423,Lowell,Tampa
city,2496,empty,Duluth
city,1002,Sheffield,Tampa
city,1847,Denver,Paonia
city,1541,empty,Lincoln
city,1012,Linconl,Lincoln
city,1408,Arrington,Afton
city,1890,Ridgefield Park,Tampa
city,633,Eale,Eagle
city,1573,Bozemn,Bozeman
city,2597,GrandR apids,Grand Rapids
city,2548,Grand aRpids,Grand Rapids
city,2542,Gkrand Rapids,Grand Rapids
city,2541,Grand apids,Grand Rapids
city,2504,Grand Rapis,Grand Rapids
city,2500,Gand Rapids,Grand Rapids
city,2499,Grand aRpids,Grand Rapids
city,2498,Grand Raids,Grand Rapids
city,2481,rGand Rapids,Grand Rapids
city,2476,rand Rapids,Grand Rapids
city,2467,Grand Rapis,Grand Rapids
city,2466,Grnad Rapids,Grand Rapids
city,2465,Gran Rapids,Grand Rapids
city,2433,Garnd Rapids,Grand Rapids
city,2418,Garand Rapids,Grand Rapids
city,2416,Grand aRpids,Grand Rapids
city,2382,Grand Rapilds,Grand Rapids
city,2381,Graand Rapids,Grand Rapids
city,2290,Grnad Rapids,Grand Rapids
city,2241,Grand aRpids,Grand Rapids
city,2240,GrandR apids,Paonia
city,2137,Grad Rapids,Grand Rapids
city,2101,rand Rapids,Grand Rapids
city,2092,Grand Rapidfs,Grand Rapids
city,2091,GrandRapids,Grand Rapids
city,2086,rand Rapids,Grand Rapids
city,1178,Grand Rapids,Tampa
city,627,GrandRapids,Grand Rapids
city,387,Grnd Rapids,Grand Rapids
city,385,Grand Rapis,Grand Rapids
city,384,Grandd Rapids,Grand Rapids
city,538,Reno,Tampa
city,2252,Oklahoma City,Tampa
city,793,empty,Ashland
city,1927,Hyannis,St Petersburg
city,1719,empty,Morganton
city,1649,San Luis Obispo,Tampa
city,2079,Chatham,Tampa
city,567,Seattle,WA
city,673,Seattle,WA
city,2477,Denver,CO
city,2008,Denver,CO
city,2004,Denver,CO
city,2003,empty,CO
city,982,empty,Pawtucket
city,2171,empty,Astoria
city,1174,Seattle,WA
city,1116,Seattle,WA
city,994,Seattle,WA
city,901,Seattle,WA
city,875,Seattle,WA
city,858,Seattle,WA
city,857,Seattle,WA
city,2587,Kalamazoo,Mt. Airy
city,2303,empty,Aurora
city,1990,Akurora,Aurora
city,1244,Daveonport,Davenport
city,655,empty,Davenport
city,539,Davenport,Tampa
city,190,Davenpyort,Davenport
city,2375,empty,Birmingham
city,1857,Seattle,WA
city,1440,Seattle,WA
city,1653,empty,Boston
city,989,Halethorpe,Tampa
city,988,Halethorpe,Tampa
city,2295,Winsor,CO
city,2294,Windsor,CO
city,889,Seattle,WA
city,724,Seattle,WA
city,497,Seattle,WA
city,496,Seattle,WA
city,1834,Pittsburgh,CO
city,2195,Springifeld,Springfield
city,502,Autsin,Austin
city,2383,Milwaukee,Tampa
city,2408,Laurel,Tampa
city,2163,empty,Kalona
city,1686,oYrk,York
city,1571,Menominee,Menominie
city,125,empty,Flagstaff
city,962,Portland,Tampa
city,1716,Belafst,Belfast
city,712,Lahania,Lahaina
city,1047,Half Moon Bay,Tampa
city,2361,Monroe,Tampa
city,2275,empty,Monroe
city,1952,Mount Pleasant,Tampa
city,2069,Austin,Fort Collins
city,602,Spirit Lake,Tampa
city,2302,Longmont,CO
city,1883,Longmont,CO
city,1859,Longmont,CO
city,1790,Longmont,CO
city,1752,Longmont,CO
city,1751,Longmont,CO
city,1750,Longmont,CO
city,1444,Longmont,CO
city,1252,Longmont,CO
city,1167,Longmont,CO
city,993,Longmont,CO
city,992,Longmont,CO
city,955,Longmont,CO
city,933,Longmont,Indianapolis
city,892,Longmont,CO
city,828,Longmont,CO
city,806,Longmont,CO
city,755,Longmont,CO
city,754,Longmont,CO
city,726,Longmont,CO
city,720,Longmont,CO
city,661,Longmont,Indianapolis
city,585,Longmont,CO
city,565,Longmont,CO
city,391,Longmont,CO
city,388,Longmont,CO
city,8,Longmont,CO
city,7,Longmont,CO
city,6,Longmont,CO
city,5,Longmont,CO
city,4,Longmont,CO
city,1,Longmont,CO
city,805,Lyons,CO
city,804,Lyons,CO
city,803,Lyons,Tampa
city,787,Lyons,CO
city,786,Lyons,CO
city,785,Lyons,CO
city,745,Lyons,CO
city,744,Lyons,CO
city,743,Lyons,CO
city,742,Lyons,CO
city,741,Lyons,CO
city,734,Lyons,CO
city,733,Lyons,CO
city,1328,Brevard,CO
city,1175,Brevard,CO
city,1166,Brevard,CO
city,1065,Brevard,CO
city,521,empty,Bucryus
city,479,Buciryus,Bucryus
city,2559,Chicago,Tampa
city,1760,Black Mountain,Tampa
city,399,Seabttle,WA
city,82,Seattle,WA
city,1861,Blanco,Brooklyn Center
city,2580,Portland,East Fairfield
city,2579,empty,Export
city,2373,Export,Tampa
city,2249,empty,Lansdale
city,1995,Chanler,Tampa
city,839,Chandler,Tampa
city,764,Chandlre,Chandler
city,1503,Seattle,WA
city,1466,Seattle,WA
city,1245,Seattle,WA
city,1416,Seattle,WA
city,1415,Seattle,WA
city,1942,Dfurango,CO
city,1708,Durango,CO
city,1521,Durango,CO
city,1297,Durango,CO
city,1192,Durango,CO
city,1013,Durango,CO
city,774,Durango,CO
city,386,Durango,CO
city,70,Durango,CO
city,69,Durango,CO
city,68,Durango,CO
city,67,Durango,CO
city,2305,Phoenixville,Pottstown
city,2405,Norfolk,Saint Louis
city,2296,empty,Hattiesburg
city,2386,Druango,CO
city,92,Durango,CO
city,91,Durango,CO
city,90,Durango,CO
city,925,hHuntsville,Huntsville
city,2369,St Mary's,Tampa
city,2352,St Paul,St. Paul
city,1314,Idianapolis,Indianapolis
city,874,empty,Indianapolis
city,2409,Brooklyn Center,Tampa
city,1164,empty,San Diego
city,2555,empty,Manhattan
city,102,Manhattan,Tampa
city,2447,empty,Bridgman
city,1982,empty,Evanston
city,2119,Richmodn,Richmond
city,1037,Brownx,Bronx
city,1277,Traverse Ciy,Traverse City
city,2421,Bloomfield,Lowell
city,2622,Evnasville,Evansville
city,949,Evansville,Tampa
city,2235,Seattle,WA
