Attribute,Index,Dirty Value,Cleaned Value,Clean Value
journal_issn,4,empty,1469-493x,empty
journal_issn,6,empty,1469-493x,empty
journal_issn,8,empty,1469-493x,1535-4970
journal_issn,9,1385-4046,1469-493x,1385-4046
journal_issn,10,empty,1469-493x,empty
journal_issn,11,1361-9209,1469-493x,1361-9209
journal_issn,14,1547-5271,1469-493x,1547-5271
journal_issn,15,empty,1469-493x,empty
journal_issn,16,0007-0963,1469-493x,0007-0963
journal_issn,19,jan-68,1469-493x,68-jan
journal_issn,22,empty,1469-493x,empty
journal_issn,24,1527-7755,0732-183x,1527-7755
journal_issn,25,empty,1469-493x,empty
journal_issn,28,empty,1469-493x,empty
journal_issn,30,15265161 (issn),1469-493x,15265161 (issn)
journal_issn,32,0195-668x,1469-493x,0195-668x
journal_issn,33,empty,1469-493x,empty
journal_issn,34,0077-8923,1469-493x,0077-8923
journal_issn,36,1745-0128 1745-0136,1469-493x,1745-0128 1745-0136
journal_issn,41,0360-3016,1469-493x,0360-3016
journal_issn,43,0175-3851,1469-493x,0175-3851
journal_issn,45,0378-7788,1469-493x,0378-7788
journal_issn,47,empty,1469-493x,empty
journal_issn,50,empty,1469-493x,empty
journal_issn,51,empty,1469-493x,empty
journal_issn,55,empty,1469-493x,empty
journal_issn,58,empty,1469-493x,empty
journal_issn,59,0-8077-4913-3,1469-493x,0-8077-4913-3
journal_issn,63,-7977,1469-493x,-7977
journal_issn,64,0091-6749 (print),1469-493x,0091-6749 (print)
journal_issn,65,1756-9966,1469-493x,1756-9966
journal_issn,67,empty,1469-493x,empty
journal_issn,68,1139-6121,1469-493x,1139-6121
journal_issn,71,0008-543x,1469-493x,0008-543x
journal_issn,75,0377-4929,1469-493x,0377-4929
journal_issn,76,empty,1469-493x,empty
journal_issn,77,empty,1469-493x,empty
journal_issn,78,0929-693x,1469-493x,0929-693x
journal_issn,80,0041-1132,1469-493x,0041-1132
journal_issn,83,1553-9318 1553-9318,1469-493x,1553-9318 1553-9318
journal_issn,86,9790000000000,1469-493x,9788480000000
journal_issn,88,empty,1469-493x,empty
journal_issn,91,1558-2027,1558-2035,1558-2027
journal_issn,92,1776-2588,1469-493x,1776-2588
journal_issn,94,1540-7314 0148-8376,1469-493x,1540-7314 0148-8376
journal_issn,97,empty,1469-493x,empty
journal_issn,101,empty,1469-493x,empty
journal_issn,102,1612-4782     1612-4790,1469-493x,1612-4782     1612-4790
journal_issn,103,empty,1469-493x,empty
journal_issn,107,empty,1469-493x,empty
journal_issn,108,empty,1469-493x,empty
journal_issn,112,2044-6055,1469-493x,2044-6055
journal_issn,113,empty,1469-493x,empty
journal_issn,114,0143-991x,1469-493x,0143-991x
journal_issn,116,empty,1469-493x,empty
journal_issn,117,0021-8987,0021-8987 (print)     0021-8987,0021-8987
journal_issn,118,empty,1469-493x,empty
journal_issn,119,2115-7863(electronic);2115-8789(print),1469-493x,2115-7863(electronic);2115-8789(print)
journal_issn,120,empty,1469-493x,empty
journal_issn,121,22-mar,1469-493x,22-mar
journal_issn,123,1471-2458,1469-493x,1471-2458
journal_issn,127,empty,1469-493x,empty
journal_issn,128,1840-0132 1840-2445 (electronic),1469-493x,1840-0132 1840-2445 (electronic)
journal_issn,129,1051-0443,1469-493x,1051-0443
journal_issn,130,-7518,1469-493x,-7518
journal_issn,132,feb-37,1469-493x,37-feb
journal_issn,133,empty,1469-493x,empty
journal_issn,134,empty,1469-493x,empty
journal_issn,135,empty,1469-493x,empty
journal_issn,136,1079-5006,1469-493x,1079-5006
journal_issn,138,empty,1469-493x,1170-7690
journal_issn,139,empty,1469-493x,empty
journal_issn,140,empty,1469-493x,empty
journal_issn,141,empty,1469-493x,empty
journal_issn,142,empty,1469-493x,empty
journal_issn,143,empty,1469-493x,empty
journal_issn,146,empty,1469-493x,empty
journal_issn,147,empty,1469-493x,empty
journal_issn,151,0956-7135,1469-493x,0956-7135
journal_issn,153,0028-2162,1469-493x,0028-2162
journal_issn,154,empty,1469-493x,empty
journal_issn,156,1424-7860,1469-493x,1424-7860
journal_issn,157,empty,1469-493x,empty
journal_issn,159,15-jan,1469-493x,15-jan
journal_issn,161,empty,1469-493x,empty
journal_issn,163,empty,1469-493x,empty
journal_issn,164,empty,1469-493x,empty
journal_issn,166,empty,1469-493x,empty
journal_issn,167,empty,1469-493x,empty
journal_issn,168,1751-7311,1469-493x,1751-7311
journal_issn,169,empty,1469-493x,empty
journal_issn,170,empty,1469-493x,empty
journal_issn,172,empty,1469-493x,empty
journal_issn,174,0393-5264,1469-493x,0393-5264
journal_issn,177,0077-8923 (print) 0077-8923,0077-8923,0077-8923 (print) 0077-8923
journal_issn,181,0390-6078,1469-493x,0390-6078
journal_issn,183,empty,1469-493x,empty
journal_issn,184,empty,1469-493x,empty
journal_issn,185,0954-0121,1469-493x,0954-0121
journal_issn,186,empty,1469-493x,empty
journal_issn,187,empty,1469-493x,empty
journal_issn,188,1078-6791,1469-493x,1078-6791
journal_issn,189,2158-0979,1469-493x,2158-0979
