Attribute,Index,Dirty Value,Clean Value
gender,39,empty,m
gender,88,***,m
gender,814,empty,m
gender,1007,empty,f
gender,1060,empty,m
gender,1232,empty,m
gender,1292,empty,m
gender,1371,am,m
gender,1940,empty,m
gender,2189,empty,m
gender,2334,empty,m
gender,2574,empty,f
gender,2599,empty,m
gender,2938,empty,m
gender,3302,empty,m
gender,3453,***,m
gender,3659,rm,m
gender,3809,empty,f
gender,4114,empty,f
gender,4208,empty,m
gender,4381,empty,f
gender,4417,***,f
gender,4507,***,f
gender,4546,jf,f
gender,4730,sf,f
gender,5035,xm,m
gender,5060,wm,m
gender,5084,empty,f
gender,5563,***,m
gender,5665,***,f
gender,5767,qm,m
gender,5989,empty,m
gender,6271,empty,m
gender,6575,empty,m
gender,6728,empty,m
gender,6824,***,f
gender,6825,nm,m
gender,6905,tm,m
gender,7060,empty,m
gender,7236,sm,m
gender,7335,empty,m
gender,7793,***,m
gender,7966,empty,m
gender,8215,***,f
gender,8331,ef,f
gender,8505,empty,f
gender,8972,empty,m
gender,8992,fm,m
gender,9005,wf,f
gender,9307,***,f
gender,9593,dm,m
gender,9620,***,f
gender,9826,om,m
gender,9902,empty,m
gender,9924,empty,m
gender,10182,empty,m
gender,10234,empty,m
gender,10364,empty,m
gender,10499,xf,f
gender,10904,***,m
gender,10917,empty,f
gender,10989,gf,f
gender,11047,empty,m
gender,11119,empty,m
gender,11207,empty,f
gender,11219,***,f
gender,11658,empty,m
gender,11688,empty,f
gender,11755,empty,f
gender,11785,empty,m
gender,11876,empty,m
gender,11889,empty,f
gender,11955,empty,m
gender,12349,empty,m
gender,12403,empty,m
gender,12411,empty,m
gender,12467,empty,m
gender,12519,empty,m
gender,12529,empty,m
gender,12699,wf,f
gender,12740,empty,f
gender,12826,empty,m
gender,13027,wm,m
gender,13260,empty,f
gender,13292,***,f
gender,13685,empty,m
gender,13723,empty,m
gender,13794,bf,f
gender,14004,empty,m
gender,14048,empty,m
gender,14081,qf,f
gender,14083,empty,m
gender,14102,empty,m
gender,14315,empty,m
gender,14353,empty,f
gender,14787,of,f
gender,14866,empty,m
gender,14969,sf,f
gender,15232,***,m
gender,15374,wf,f
gender,15422,***,m
gender,15428,***,m
gender,15508,empty,f
gender,15677,empty,m
gender,15812,empty,f
gender,15839,***,m
gender,16136,empty,m
gender,16572,empty,m
gender,16747,empty,m
gender,17005,ff,f
gender,17054,empty,m
gender,17085,empty,f
gender,17164,empty,f
gender,17367,empty,m
gender,17443,***,f
gender,17446,***,m
gender,17496,empty,m
gender,17520,im,m
gender,17649,***,f
gender,17761,empty,m
gender,18025,empty,m
gender,18269,gf,f
gender,18361,empty,f
gender,18391,***,f
gender,18471,empty,m
gender,18793,***,f
gender,18948,empty,m
gender,19170,***,m
gender,19432,***,m
gender,19670,***,f
city,151,danvilel,danville
city,183,empty,viola
city,203,empty,gaffney
city,356,empty,washington
city,381,empty,lee
city,566,patric springs,patrick springs
city,819,empty,charleston
city,912,iqndiana,indiana
city,933,erryville,perryville
city,1024,dcetroit,detroit
city,1027,empty,fabyan
city,1120,empty,spiceland
city,1533,clzeveland,cleveland
city,1694,empty,fort campbell
city,1699,empty,winter park
city,1762,empty,rochester
city,1986,eutaww,eutaw
city,2029,grov ehill,grove hill
city,2189,medfrod,medford
city,2259,hillsbonro,hillsboro
city,2759,woebster,webster
city,3115,wasington,washington
city,3333,walthourvile,walthourville
city,3367,empty,hartford
city,3386,irmingham,birmingham
city,3387,gaylordsvixlle,gaylordsville
city,3528,lvexington,lexington
city,3571,empty,central islip
city,3725,empty,elkhart
city,3905,iro grande,rio grande
city,3954,neid,enid
city,4273,empty,belvidere center
city,4333,greensboero,greensboro
city,4343,empty,windsor locks
city,4730,empty,lewes
city,5181,fmairfax,fairfax
city,5214,iami,miami
city,5395,eastyport,eastport
city,5419,empty,lexington
city,5450,empty,millersburg
city,5571,empty,ceiba
city,5728,philomot,philomont
city,5867,weaer,weare
city,5963,wetport,westport
city,6230,fort oludon,fort loudon
city,6296,empty,andrews
city,6298,empty,belleville
city,6736,pulawski,pulaski
city,6748,new yrk,new york
city,7033,empty,penobscot
city,7092,empty,jackson
city,7296,alexuandria,alexandria
city,7413,empty,andersonville
city,7513,empty,pleasant unity
city,7613,empty,westport
city,7744,empty,winchendon springs
city,7767,faifax,fairfax
city,7928,esat syracuse,east syracuse
city,8084,lexinton,lexington
city,8100,ujstice,justice
