Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.9468328651388128
Attribute: areacode, MSE: nan, Jaccard: 0.09138762663724298
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.02916798605843185
Attribute: state, MSE: nan, Jaccard: 0.7863791386361999
Attribute: zip, MSE: nan, Jaccard: 0.0
Attribute: maritalstatus, MSE: nan, Jaccard: 0.0
Attribute: haschild, MSE: nan, Jaccard: 0.0
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: nan, Jaccard: 0.23121387283236994
Attribute: singleexemp, MSE: nan, Jaccard: 0.9977410433424114
Attribute: marriedexemp, MSE: nan, Jaccard: 0.981136114073191
Attribute: childexemp, MSE: nan, Jaccard: 0.9622294117647059
��Ȩ��Ͼ���: 0.15706525182760517
