Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: name, MSE: nan, Jaccard: 0.0
Attribute: surname, MSE: nan, Jaccard: 0.017621145374449365
Attribute: birthyear, MSE: nan, Jaccard: 0.15776514127691577
Attribute: birthplace, MSE: nan, Jaccard: 0.0420228149532762
Attribute: position, MSE: nan, Jaccard: 0.8729216250344973
Attribute: team, MSE: nan, Jaccard: 0.5671334766316923
Attribute: city, MSE: nan, Jaccard: 0.0
Attribute: stadium, MSE: nan, Jaccard: 0.31578441651457256
Attribute: season, MSE: nan, Jaccard: 0.0
Attribute: manager, MSE: nan, Jaccard: 0.0
º”»®ªÏ∫œæ‡¿Î: 0.0896931190811547
