Attribute,Index,Dirty Value,Cleaned Value,Clean Value
sched_dep_time,34,empty,10:40 am,08:25 pm
sched_dep_time,44,empty,10:40 am,08:35 am
sched_dep_time,93,07r:15 am,06:00 am,07:15 am
sched_dep_time,106,08:00 wpm,06:00 am,08:00 pm
sched_dep_time,173,empty,06:00 am,08:05 am
sched_dep_time,265,empty,02:55 pm,09:45 am
sched_dep_time,289,12:00p m,02:55 pm,12:00 pm
sched_dep_time,325,empty,02:55 pm,01:05 pm
sched_dep_time,393,08:00 m,06:00 am,08:00 pm
sched_dep_time,430,02:55 pzm,06:00 am,02:55 pm
sched_dep_time,447,empty,06:00 am,10:39 am
sched_dep_time,456,07:00 am***,06:00 am,07:00 am
sched_dep_time,485,empty,06:00 am,09:15 am
sched_dep_time,499,04:2d5 pm,06:00 am,04:25 pm
sched_dep_time,520,empty,06:00 am,07:55 am
sched_dep_time,582,l12:00 pm,06:00 am,12:00 pm
sched_dep_time,587,empty,06:00 am,07:10 am
sched_dep_time,592,08:i00 pm,06:00 am,08:00 pm
sched_dep_time,633,empty,06:00 am,08:00 am
sched_dep_time,637,empty,06:00 am,03:27 pm
sched_dep_time,671,empty,06:00 am,03:35 pm
sched_dep_time,690,11:55 npm,06:00 am,11:55 pm
sched_dep_time,754,empty,07:10 am,02:30 pm
sched_dep_time,768,08:00e pm,06:00 am,08:00 pm
sched_dep_time,775,c06:59 am,06:00 am,06:59 am
sched_dep_time,806,06q:30 pm,09:15 am,06:30 pm
sched_dep_time,809,08:00pm,09:15 am,08:00 pm
sched_dep_time,867,empty,06:00 am,07:05 am
sched_dep_time,872,empty,06:00 am,11:55 pm
sched_dep_time,933,empty,10:40 am,07:15 pm
sched_dep_time,937,08:00 pm***,10:40 am,08:00 pm
sched_dep_time,939,07:05m am,10:40 am,07:05 am
sched_dep_time,943,empty,10:40 am,04:25 pm
sched_dep_time,1008,06:00am,02:55 pm,06:00 am
sched_dep_time,1014,empty,02:55 pm,10:15 am
