Attribute,Index,Dirty Value,Clean Value
sched_dep_time,204,8:00 pm,08:00 pm
sched_dep_time,269,02:0 pm,02:30 pm
sched_dep_time,297,08:0 pm,08:00 pm
sched_dep_time,491,08:00 mp,08:00 pm
sched_dep_time,589,7:25 am,07:25 am
sched_dep_time,667,05:52 pm,05:25 pm
sched_dep_time,683,08:0 0pm,08:00 pm
sched_dep_time,694,065:9 am,06:59 am
sched_dep_time,761,12:00 mp,12:00 pm
sched_dep_time,794,065:9 am,06:59 am
sched_dep_time,865,08:0 pm,08:00 pm
sched_dep_time,876,06:59 ma,06:59 am
sched_dep_time,942,01:2 9pm,01:29 pm
sched_dep_time,1015,0:30 am,07:30 am
sched_dep_time,1031,3:50 pm,03:50 pm
sched_dep_time,1033,07:05 ma,07:05 am
sched_dep_time,1040,60:59 am,06:59 am
sched_dep_time,1124,0:800 pm,08:00 pm
sched_dep_time,1135,0:659 am,06:59 am
sched_dep_time,1286,1:55 pm,11:55 pm
sched_dep_time,1290,0:59 am,06:59 am
sched_dep_time,1316,025:5 pm,02:55 pm
sched_dep_time,1388,06:59 ma,06:59 am
sched_dep_time,1454,010:5 pm,01:05 pm
sched_dep_time,1520,7:53 am,07:53 am
sched_dep_time,1543,08:00 mp,08:00 pm
sched_dep_time,1621,0:59 am,06:59 am
sched_dep_time,1675,6:00 am,06:00 am
sched_dep_time,1684,023:0 pm,02:30 pm
sched_dep_time,1736,07:5 am,07:53 am
sched_dep_time,1823,065:9 am,06:59 am
sched_dep_time,1881,11:5 am,11:50 am
sched_dep_time,1964,4:00 pm,04:00 pm
sched_dep_time,2015,06:59 ma,06:59 am
sched_dep_time,2186,10:51 am,10:15 am
sched_dep_time,2256,0:10 am,07:10 am
sched_dep_time,2335,06:0 am,06:00 am
sched_dep_time,2360,60:59 am,06:59 am
act_dep_time,66,10:19 ma,10:19 am
act_dep_time,488,05:0 8pm,05:08 pm
act_dep_time,588,0:508 pm,05:08 pm
act_dep_time,622,40:12 pm,04:12 pm
act_dep_time,794,0:722 am,07:22 am
act_dep_time,910,07:3 9am,07:39 am
act_dep_time,941,10:31 pm,01:31 pm
act_dep_time,964,04:12 mp,04:12 pm
act_dep_time,1034,11:0 1am,11:01 am
act_dep_time,1275,050:8 pm,05:08 pm
act_dep_time,1290,0:722 am,07:22 am
act_dep_time,1388,07:2 2am,07:22 am
act_dep_time,1539,05:08 mp,05:08 pm
act_dep_time,1656,11:08 mp,11:08 pm
act_dep_time,1700,050:8 pm,05:08 pm
act_dep_time,1889,08:0 4am,08:04 am
act_dep_time,1964,040:0 pm,04:00 pm
act_dep_time,2029,024:4 pm,02:44 pm
act_dep_time,2255,07:3 1am,07:31 am
sched_arr_time,38,09:20 mp,09:20 pm
sched_arr_time,102,80:05 pm,08:05 pm
sched_arr_time,155,09:54 ma,09:54 am
sched_arr_time,176,01:17 mp,01:17 pm
sched_arr_time,358,02:2 0pm,02:20 pm
sched_arr_time,363,0:117 pm,01:17 pm
sched_arr_time,463,01:17 m,01:17 pm
sched_arr_time,561,0:17 pm,01:17 pm
sched_arr_time,610,10:40 pm,01:40 pm
sched_arr_time,655,01:71 pm,01:17 pm
sched_arr_time,691,122:9 am,12:29 am
sched_arr_time,746,01:17 pzm,01:17 pm
sched_arr_time,837,01:17 pim,01:17 pm
sched_arr_time,909,06:04 am,06:40 am
sched_arr_time,1096,01:7 pm,01:17 pm
sched_arr_time,1249,01:17 mp,01:17 pm
sched_arr_time,1258,02:00 mp,02:00 pm
sched_arr_time,1339,01:61 pm,01:16 pm
sched_arr_time,1349,01:1 7pm,01:17 pm
sched_arr_time,1429,01:17 mp,01:17 pm
sched_arr_time,1513,01:17t pm,01:17 pm
sched_arr_time,1597,01:61 pm,01:16 pm
sched_arr_time,1600,01:17 mp,01:17 pm
sched_arr_time,1674,01:7 pm,01:17 pm
sched_arr_time,1727,01:45 am,10:45 am
sched_arr_time,1784,01:1 pm,01:17 pm
sched_arr_time,1882,01:71 pm,01:17 pm
sched_arr_time,1976,01:1 pm,01:17 pm
sched_arr_time,2066,10:16 pm,01:16 pm
sched_arr_time,2076,01:e17 pm,01:17 pm
sched_arr_time,2084,031:9 pm,03:19 pm
sched_arr_time,2181,01:17 pem,01:17 pm
sched_arr_time,2268,01:17m pm,01:17 pm
act_arr_time,215,100:4 am,10:04 am
act_arr_time,253,11:58 ma,11:58 am
act_arr_time,306,10:40 am,10:04 am
act_arr_time,384,122:1 am,12:21 am
act_arr_time,404,1:004 am,10:04 am
act_arr_time,483,21:21 am,12:21 am
act_arr_time,502,0:04 am,10:04 am
act_arr_time,603,1:04 am,10:04 am
act_arr_time,694,100:4 am,10:04 am
act_arr_time,773,12:15 ma,12:15 am
act_arr_time,775,10:04w am,10:04 am
act_arr_time,794,1004 am,10:04 am
act_arr_time,1135,0:04 am,10:04 am
act_arr_time,1310,0:313 pm,03:13 pm
act_arr_time,1388,100:4 am,10:04 am
act_arr_time,1554,1:004 am,10:04 am
act_arr_time,1621,01:04 am,10:04 am
act_arr_time,1709,10:04am,10:04 am
act_arr_time,1726,06:91 am,06:19 am
act_arr_time,1809,07:5 5pm,07:55 pm
act_arr_time,2332,empty,07:39 pm
act_arr_time,2347,01:36 am,10:36 am
