Attribute,Index,Clean Value,Cleaned Value
beer_name,1535,kentucky k?lsch,kentucky kölsch
beer_name,1738,"the kimmie, the yink and the holy gose",the kimmie the yink and the holy gose
beer_name,1640,aslan k?lsch,aslan kölsch
beer_name,1408,k?lsch 151,kölsch 151
beer_name,2204,post time k?lsch,post time kölsch
beer_name,1802,"you're my boy, blue",you're my boy blue
beer_name,2654,32°/50° k?lsch,32°/50° kölsch
beer_name,129,heiner brau k?lsch,heiner brau kölsch
beer_name,1804,mj?llnir,mjöllnir
beer_name,1452,laimas k?lsch style ale,laimas kölsch style ale
beer_name,2309,sunbru k?lsch,sunbru kölsch
beer_name,178,sunbru k?lsch,sunbru kölsch
beer_name,1034,cabrillo k?lsch,cabrillo kölsch
beer_name,2142,screamin??pumpkin,screamin�?pumpkin
beer_name,195,lancaster german style k?lsch,lancaster german style kölsch
beer_name,1081,occidental k?lsch,occidental kölsch
beer_name,1796,the crowler??,the crowler�?
beer_name,1087,side kick k?lsch,side kick kölsch
beer_name,1760,greybeard??ipa,greybeard�?ipa
beer_name,92,colorado k?lsch,colorado kölsch
beer_name,105,k?ld lager (2010),köld lager (2010)
beer_name,936,loafin br?u,loafin bräu
style,2217,k?lsch,kölsch
style,1535,k?lsch,kölsch
style,550,k?lsch,kölsch
style,1640,k?lsch,kölsch
style,1579,m?rzen / oktoberfest,märzen / oktoberfest
style,1401,k?lsch,kölsch
style,1408,k?lsch,kölsch
style,1613,m?rzen / oktoberfest,märzen / oktoberfest
style,1281,m?rzen / oktoberfest,märzen / oktoberfest
style,2204,k?lsch,kölsch
style,2654,k?lsch,kölsch
style,427,k?lsch,kölsch
style,2055,k?lsch,kölsch
style,2019,k?lsch,kölsch
style,2079,m?rzen / oktoberfest,märzen / oktoberfest
style,2011,m?rzen / oktoberfest,märzen / oktoberfest
style,2438,k?lsch,kölsch
style,129,k?lsch,kölsch
style,681,k?lsch,kölsch
style,1311,k?lsch,kölsch
style,1452,k?lsch,kölsch
style,1968,k?lsch,kölsch
style,2659,k?lsch,kölsch
style,2309,k?lsch,kölsch
style,178,k?lsch,kölsch
style,1300,k?lsch,kölsch
style,1034,k?lsch,kölsch
style,930,m?rzen / oktoberfest,märzen / oktoberfest
style,539,m?rzen / oktoberfest,märzen / oktoberfest
style,2461,m?rzen / oktoberfest,märzen / oktoberfest
style,1567,m?rzen / oktoberfest,märzen / oktoberfest
style,1380,k?lsch,kölsch
style,1313,m?rzen / oktoberfest,märzen / oktoberfest
style,769,k?lsch,kölsch
style,192,k?lsch,kölsch
style,989,m?rzen / oktoberfest,märzen / oktoberfest
style,2383,m?rzen / oktoberfest,märzen / oktoberfest
style,1458,m?rzen / oktoberfest,märzen / oktoberfest
style,1235,k?lsch,kölsch
style,195,k?lsch,kölsch
style,475,k?lsch,kölsch
style,1816,k?lsch,kölsch
style,1626,m?rzen / oktoberfest,märzen / oktoberfest
style,2662,k?lsch,kölsch
style,1617,m?rzen / oktoberfest,märzen / oktoberfest
style,314,m?rzen / oktoberfest,märzen / oktoberfest
style,1081,k?lsch,kölsch
style,696,k?lsch,kölsch
style,1087,k?lsch,kölsch
style,417,m?rzen / oktoberfest,märzen / oktoberfest
style,1992,m?rzen / oktoberfest,märzen / oktoberfest
style,2373,m?rzen / oktoberfest,märzen / oktoberfest
style,1552,k?lsch,kölsch
style,1864,k?lsch,kölsch
style,1995,m?rzen / oktoberfest,märzen / oktoberfest
style,307,m?rzen / oktoberfest,märzen / oktoberfest
style,166,m?rzen / oktoberfest,märzen / oktoberfest
style,1798,k?lsch,kölsch
style,1482,m?rzen / oktoberfest,märzen / oktoberfest
style,1969,k?lsch,kölsch
style,369,m?rzen / oktoberfest,märzen / oktoberfest
style,92,k?lsch,kölsch
style,1357,m?rzen / oktoberfest,märzen / oktoberfest
style,650,k?lsch,kölsch
style,456,m?rzen / oktoberfest,märzen / oktoberfest
style,1410,k?lsch,kölsch
style,874,m?rzen / oktoberfest,märzen / oktoberfest
style,526,m?rzen / oktoberfest,märzen / oktoberfest
style,2035,k?lsch,kölsch
style,1042,m?rzen / oktoberfest,märzen / oktoberfest
style,1645,m?rzen / oktoberfest,märzen / oktoberfest
style,1514,k?lsch,kölsch
abv,2685,0.125,0.099
abv,2574,0.1,0
abv,2621,0.12,0.099
abv,2565,0.128,0.099
abv,2306,0.028,0.065
brewery_id,2518,267,67
brewery_name,2262,18th street brewery,18th street brnewery
brewery_name,10,21st amendment brewery,empty
brewery_name,47,7 seas brewing company,7 seas brewing compuany
brewery_name,1583,7venth sun,empty
brewery_name,2592,anchor brewing company,anchor qbrewing company
brewery_name,523,anderson valley brewing company,andersokn valley brewing company
brewery_name,1620,aviator brewing company,empty
brewery_name,1132,back east brewing company,back east bewing company
brewery_name,1876,back forty beer company,empty
brewery_name,1644,banner beer company,empty
brewery_name,2618,bare hands brewery,bare hands sbrewery
brewery_name,1778,baxter brewing company,empty
brewery_name,910,baxter brewing company,empty
brewery_name,182,baxter brewing company,baxter brewing comany
brewery_name,2585,big muddy brewing,empty
brewery_name,643,big river brewing company,empty
brewery_name,1303,blue blood brewing company,blue blood brwing company
brewery_name,1025,blue blood brewing company,empty
brewery_name,937,blue blood brewing company,blue blood brewng company
brewery_name,89,bohemian brewery,bohemian breewry
brewery_name,1548,bonfire brewing company,bonfire bewing company
brewery_name,1360,bonfire brewing company,empty
brewery_name,1184,bonfire brewing company,empty
brewery_name,1289,bozeman brewing company,empty
brewery_name,2167,branchline brewing company,branclhine brewing company
brewery_name,2619,brew link brewing,empty
brewery_name,2548,brewery vivant,brweery vivant
brewery_name,2542,brewery vivant,bdrewery vivant
brewery_name,2541,brewery vivant,brewery vivatn
brewery_name,2504,brewery vivant,birewery vivant
brewery_name,2500,brewery vivant,brewery vivat
brewery_name,2499,brewery vivant,brewemry vivant
brewery_name,2498,brewery vivant,brewery viavnt
brewery_name,2481,brewery vivant,bkrewery vivant
brewery_name,2476,brewery vivant,brewry vivant
brewery_name,2467,brewery vivant,bewery vivant
brewery_name,2466,brewery vivant,brewey vivant
brewery_name,2465,brewery vivant,brewery vivannt
brewery_name,2433,brewery vivant,brwery vivant
brewery_name,2418,brewery vivant,breweryv ivant
brewery_name,2416,brewery vivant,brewery cvivant
brewery_name,2382,brewery vivant,brewery ivvant
brewery_name,2381,brewery vivant,brewery vviant
brewery_name,2290,brewery vivant,breweryvivant
brewery_name,2241,brewery vivant,brewery vivnat
brewery_name,2240,brewery vivant,breweryp vivant
brewery_name,2137,brewery vivant,brewrey vivant
brewery_name,2101,brewery vivant,rewery vivant
brewery_name,2092,brewery vivant,breweyr vivant
brewery_name,2091,brewery vivant,brewrey vivant
brewery_name,2086,brewery vivant,brewery vivnat
brewery_name,2023,brewery vivant,abrewery vivant
brewery_name,2006,brewery vivant,brewery ivvant
brewery_name,1997,brewery vivant,brewery ivvant
brewery_name,1977,brewery vivant,brewery vviant
brewery_name,1976,brewery vivant,brewery jvivant
brewery_name,1974,brewery vivant,breweroy vivant
brewery_name,1973,brewery vivant,brewey vivant
brewery_name,1959,brewery vivant,brfewery vivant
brewery_name,1958,brewery vivant,breweryh vivant
brewery_name,1949,brewery vivant,brewery tvivant
brewery_name,1947,brewery vivant,brewepry vivant
brewery_name,1651,brewery vivant,brewery viavnt
brewery_name,1443,brewery vivant,brewerry vivant
brewery_name,860,brewery vivant,rewery vivant
brewery_name,677,brewery vivant,brewebry vivant
brewery_name,671,brewery vivant,brgewery vivant
brewery_name,669,brewery vivant,breweryf vivant
brewery_name,627,brewery vivant,brewery vivnat
brewery_name,387,brewery vivant,brewery vkivant
brewery_name,385,brewery vivant,breweyr vivant
brewery_name,384,brewery vivant,brewery vivatn
brewery_name,2160,burn 'em brewing,empty
