Attribute,Index,Clean Value,Cleaned Value
gender,1105,f,m
gender,1191,m,f
gender,1360,m,f
gender,2021,m,f
gender,2150,m,f
gender,2285,m,f
gender,2926,m,f
gender,3938,m,f
gender,4083,m,f
gender,4296,m,f
gender,4516,m,f
gender,4595,m,f
gender,5022,f,m
gender,5123,f,m
gender,5181,m,f
gender,6374,m,f
gender,6746,m,f
gender,8035,m,f
gender,8521,m,f
gender,8835,m,f
gender,8942,m,f
gender,9016,m,f
gender,9272,f,m
gender,9403,f,m
gender,9577,m,f
gender,9708,f,m
gender,10162,m,f
gender,10237,f,m
gender,10257,m,f
gender,11031,f,m
gender,11253,f,m
gender,11941,m,f
gender,12011,m,f
gender,12021,f,m
gender,12071,m,f
gender,12097,m,f
gender,12630,f,m
gender,13320,m,f
gender,13822,m,f
gender,14048,m,f
gender,14481,f,m
gender,14753,m,f
gender,15599,f,m
gender,15787,f,m
gender,16141,f,m
gender,16167,m,f
gender,16267,f,m
gender,16512,m,f
gender,16617,m,f
gender,17041,m,f
gender,17974,f,m
gender,18307,m,f
gender,18319,m,f
gender,18771,m,f
gender,18935,f,m
gender,18972,m,f
gender,19094,m,f
gender,19350,m,f
city,320,venice,empty
city,354,salvisa,savisa
city,470,gordonville,goronville
city,583,adamsville,aadmsville
city,692,searsmont,empty
city,707,gulfport,guelfport
city,803,north bridgton,north rbidgton
city,1022,albion,empty
city,1307,cayey,cayye
city,1456,parkersburg,prkersburg
city,1515,dahlonega,dahlonga
city,1929,sebago lake,empty
city,2922,hagerstown,hagerstonw
city,2929,raymond,empty
city,3359,kingsport,kingsrport
city,3416,west river,empty
city,3450,hanahan,hanyahan
city,3621,sparta,empty
city,3782,guilford,guilord
city,3874,catawba,catawab
city,3946,washington,empty
city,4114,gorham,orham
city,4233,madison,empty
city,4274,volga,voplga
city,4411,swampscott,swampsctt
city,4469,louisville,empty
city,4719,harpers ferry,hrpers ferry
city,4752,hampton,hamptno
city,4854,mill river,empty
city,4870,hampton,hampotn
city,4940,cottondale,empty
city,4957,coosada,empty
city,5187,providence,empty
city,5204,groton,groon
city,5293,shelburne,yshelburne
city,5533,saint matthews,saint mattews
city,5837,hampton,hmpton
city,5844,richwood,richowod
city,5950,white haven,empty
city,6551,chesterfield,chesterield
city,6587,easton,empty
city,6811,west burlington,west burlingon
city,6966,hagerstown,agerstown
city,6974,gill,gill***
city,7173,harmony,harmoyn
city,7222,sandborn,empty
city,7227,tampa,empty
city,7250,newark,newakr
