Attribute,Index,Dirty Value,Cleaned Value
gender,509,bm,m
gender,991,bm,m
gender,2429,nm,m
gender,2478,kf,m
gender,2777,mm,m
gender,2981,rm,m
gender,5184,yf,m
gender,5785,zf,m
gender,6695,yf,m
gender,6845,im,m
gender,7844,bf,m
gender,8510,mf,m
gender,8585,pf,m
gender,8983,bm,m
gender,9830,wf,m
gender,9987,vf,m
gender,10033,ff,m
gender,10388,kf,m
gender,10577,gm,m
gender,11441,wm,m
gender,11553,wf,m
gender,11624,nm,m
gender,12253,wf,m
gender,12409,cm,m
gender,12539,em,m
gender,13329,of,m
gender,15210,nf,m
gender,15285,kf,m
gender,15865,kf,m
gender,16218,nf,m
gender,16458,tf,m
gender,16675,tm,m
gender,17854,zf,m
gender,17943,im,m
gender,19059,sm,m
city,102,empty,east walpole
city,220,empty,luquillo
city,312,yorkwlyn,citra
city,515,hagerqstown,hagerstown
city,1362,esfsex,essex
city,1507,empty,stennis space center
city,1680,empty,frderica
city,1723,empty,weld
city,1848,empty,clyde
city,1860,empty,pageland
city,2005,empty,lexington
city,2209,cornihsh,cornish
city,2435,empty,ensenada
city,2762,empty,mobile
city,3040,empty,oodlawn
city,3190,empty,north easton
city,3538,empty,orient
city,3907,baltzimore,frederick
city,3962,empty,meridian
city,4008,empty,springfield
city,4076,empty,sparta
city,4615,empty,clear spring
city,4790,frort buchanan,peru
city,4880,empty,bowie
city,4945,empty,center cross
city,5009,monroeviwlle,haywood
city,5388,opoelika,laconia
city,5473,empty,washington
city,5705,empty,baltimore
city,5774,empty,irwinton
city,5857,flxora,fryeburg
city,6088,fortq buchanan,fort buchanan
city,6260,empty,washington
city,6461,fiskevilnle,fiskevile
city,6785,empty,manasquan
city,6788,frantkford,frankfodr
city,7078,empty,columbus
city,7190,empty,yorklyn
city,7798,gexeter,exeer
city,7819,empty,peterman
city,8209,poncte,ponce
city,8218,empty,newport
city,8265,empty,hormigueros
city,8275,empty,marydel
city,8833,empty,gordonville
city,8942,portspmouth,rockland
city,8987,lowndesbforo,morristown
city,9159,empty,trenton
city,9460,ejwing,ewing
city,10345,empty,the rock
city,10814,empty,washington
city,10853,framinghasm,framingham
city,10980,zfort ritner,fort ritner
city,11264,empty,oxford
city,11300,empty,grafton
city,11323,firederica,frderica
city,11692,farmingdable,farmingdale
city,11805,fralmingham,framingham
city,11892,empty,ponce
city,12135,dtownsend,townsend
city,12405,rfranklin,franklin
city,12794,empty,suffolk
city,12955,fredesricksburg,fairfield
city,13068,empty,lynn
city,13128,empty,fort fairfield
city,13165,empty,fairfield
city,13241,empty,groton
city,13337,empty,frenchville
city,13348,farmingwton,farmington
city,14137,exeeter,exeter
city,14167,empty,lake orion
city,14620,empty,indianapolis
city,14681,empty,wakefield
city,14921,foresut,spencer
city,15092,empty,san juan
city,15147,falmoutah,falmouth
city,15189,fairforeyst,stonington
city,15216,fairfaqx,fairfax
city,15298,empty,blaine
city,15409,eussex,south strafford
city,15627,pawtucklet,oakland
city,15769,floreqnce,florence
city,15946,flinqt,hallie
city,16377,fort lahuderdale,fort lauderdale
city,16388,cazmeron,woodbridge
city,16774,empty,dover
city,16833,exenter,exeter
city,16873,frankfpord,frankfodr
city,17054,empty,holliston
city,17109,fiynger,finger
city,17124,empty,mc farlan
city,17158,cherryw hill,manchester
city,17272,exseter,exeer
city,17426,essexm fells,birmingham
city,17556,feirnwood,milton
city,17641,gbiloxi,clay city
city,17718,wallvs,mechanicsville
city,17740,fort waynce,trenton
city,17972,fairlfax,fairfax
city,17991,farjmersburg,farmersburg
city,18244,empty,stillmore
city,18399,empty,ocean city
