Attribute,Index,Clean Value,Dirty Value
gender,200,m,***
gender,312,m,bm
gender,399,m,empty
gender,431,m,sm
gender,491,f,of
gender,504,f,of
gender,521,m,empty
gender,567,f,gf
gender,622,f,empty
gender,703,m,empty
gender,773,m,empty
gender,808,m,empty
gender,818,f,empty
gender,823,m,***
gender,923,f,empty
gender,975,m,empty
gender,1015,m,empty
gender,1047,f,empty
gender,1051,f,tf
gender,1064,m,empty
gender,1098,f,empty
gender,1208,f,empty
gender,1215,f,empty
gender,1226,f,empty
gender,1258,m,empty
gender,1453,f,empty
gender,1455,m,empty
gender,1482,f,empty
gender,1486,f,***
gender,1496,m,empty
gender,1673,f,empty
gender,1711,m,empty
gender,1729,m,***
gender,1782,f,lf
gender,1798,f,empty
gender,1809,f,uf
gender,1928,m,***
gender,1950,f,***
gender,1961,f,***
gender,2049,f,empty
gender,2055,f,empty
gender,2058,m,empty
gender,2155,f,***
gender,2201,f,empty
gender,2211,m,empty
gender,2253,f,cf
gender,2280,m,lm
gender,2309,f,***
gender,2363,m,empty
gender,2468,f,***
gender,2489,m,empty
gender,2507,f,lf
gender,2541,f,empty
gender,2545,f,empty
gender,2584,m,om
gender,2587,m,empty
gender,2632,m,***
gender,2652,m,***
gender,2681,f,***
gender,2791,m,empty
gender,2857,m,empty
gender,2863,m,empty
gender,2877,m,empty
gender,2880,f,empty
gender,3021,f,***
gender,3024,m,empty
gender,3070,f,empty
gender,3115,f,empty
gender,3127,m,empty
gender,3131,f,***
gender,3155,f,empty
gender,3183,f,empty
gender,3246,m,empty
gender,3255,f,empty
gender,3260,f,empty
gender,3336,m,empty
gender,3354,f,empty
gender,3437,f,pf
gender,3571,f,empty
gender,3577,m,empty
gender,3643,f,***
gender,3660,f,empty
gender,3691,f,empty
gender,3724,m,empty
gender,3878,f,***
gender,3947,m,empty
gender,3956,f,empty
gender,3979,m,empty
gender,3992,f,lf
gender,4046,m,empty
gender,4111,f,empty
gender,4140,f,***
gender,4296,m,empty
gender,4337,f,empty
gender,4345,f,empty
gender,4442,f,***
gender,4468,m,empty
gender,4523,f,empty
gender,4531,f,empty
gender,4546,f,empty
gender,4612,m,empty
gender,4736,m,empty
gender,4759,f,empty
gender,4841,f,af
gender,4865,m,empty
gender,5046,f,empty
gender,5123,f,***
gender,5199,f,empty
gender,5327,f,ff
gender,5361,f,empty
gender,5399,f,empty
gender,5425,f,if
gender,5444,m,empty
gender,5525,f,***
gender,5571,f,xf
gender,5575,f,tf
gender,5579,m,empty
gender,5582,f,empty
gender,5592,f,empty
gender,5701,f,***
gender,5705,f,bf
gender,5709,f,***
gender,5758,f,of
gender,5821,f,***
gender,5885,m,empty
gender,5929,f,***
gender,6012,f,empty
gender,6109,f,***
gender,6173,f,empty
gender,6184,f,empty
gender,6199,f,pf
gender,6211,f,empty
gender,6222,f,empty
gender,6234,f,empty
gender,6293,f,empty
gender,6395,f,empty
gender,6444,f,nf
gender,6518,m,empty
gender,6647,f,empty
gender,6695,f,empty
gender,6697,f,empty
gender,6814,f,yf
gender,6822,f,empty
gender,6852,f,empty
gender,6899,f,tf
gender,6918,m,empty
gender,6959,f,lf
gender,6989,f,***
gender,7007,f,***
gender,7056,f,empty
gender,7142,f,pf
gender,7168,f,empty
gender,7292,f,gf
gender,7308,f,***
gender,7388,m,empty
gender,7421,f,empty
gender,7431,f,tf
gender,7441,f,empty
gender,7465,m,***
gender,7474,f,***
gender,7522,f,empty
gender,7528,f,***
gender,7585,f,empty
gender,7595,f,vf
gender,7599,f,empty
gender,7654,f,empty
gender,7720,f,empty
gender,7762,m,empty
gender,7795,f,***
gender,7883,f,empty
gender,7941,f,tf
gender,7944,f,***
gender,7961,f,empty
gender,8006,f,***
gender,8066,m,empty
gender,8128,f,empty
gender,8129,f,***
gender,8193,f,empty
gender,8203,f,rf
gender,8220,f,empty
gender,8236,f,empty
gender,8240,f,empty
gender,8252,f,empty
gender,8258,f,empty
gender,8279,f,***
gender,8340,m,empty
gender,8368,f,if
gender,8376,f,empty
gender,8462,m,empty
gender,8477,f,empty
gender,8504,f,sf
gender,8602,f,***
gender,8632,m,empty
gender,8643,f,empty
gender,8660,m,empty
gender,8691,f,empty
gender,8751,f,empty
gender,8758,f,mf
gender,8839,f,empty
gender,8866,m,empty
gender,9030,m,mm
gender,9065,m,empty
gender,9106,m,***
gender,9113,m,empty
gender,9135,f,yf
gender,9166,f,empty
gender,9232,f,empty
gender,9248,f,***
gender,9272,f,empty
gender,9280,m,empty
gender,9323,m,***
gender,9390,f,***
gender,9403,f,of
gender,9437,f,empty
gender,9454,f,***
gender,9482,f,kf
gender,9507,m,***
gender,9519,f,empty
gender,9562,m,empty
gender,9567,m,om
gender,9575,f,empty
gender,9691,f,empty
gender,9744,f,af
gender,9752,f,xf
gender,9976,f,qf
gender,10004,f,***
gender,10005,m,empty
gender,10011,f,af
gender,10078,m,***
gender,10100,f,empty
gender,10129,m,vm
gender,10170,f,cf
gender,10174,f,***
gender,10215,f,***
gender,10232,f,***
gender,10237,f,empty
gender,10244,f,ff
gender,10255,f,bf
gender,10276,f,empty
gender,10277,f,empty
gender,10305,f,empty
gender,10329,f,empty
gender,10357,m,empty
gender,10374,m,empty
gender,10386,f,jf
gender,10388,f,empty
gender,10392,f,kf
gender,10410,m,empty
gender,10441,f,empty
gender,10445,f,jf
gender,10505,m,***
gender,10515,m,empty
gender,10530,m,***
gender,10549,m,empty
gender,10562,m,zm
gender,10575,m,empty
gender,10589,f,***
gender,10614,m,empty
gender,10616,f,empty
gender,10654,f,***
gender,10687,f,df
gender,10692,f,empty
gender,10746,f,***
gender,10825,f,yf
gender,10844,m,empty
gender,10846,m,am
gender,10861,f,empty
gender,10909,m,qm
gender,10944,f,***
gender,10954,f,empty
gender,10973,f,zf
gender,11031,f,wf
gender,11044,m,empty
gender,11055,m,empty
gender,11058,f,***
gender,11089,f,empty
gender,11111,m,empty
gender,11125,f,ef
gender,11134,f,empty
gender,11164,f,tf
gender,11175,f,***
gender,11266,m,empty
gender,11290,f,empty
gender,11401,m,empty
gender,11402,m,***
gender,11446,m,vm
gender,11451,f,empty
gender,11458,f,empty
gender,11514,f,empty
gender,11561,f,cf
gender,11593,f,empty
gender,11603,f,empty
gender,11654,m,***
gender,11706,m,om
gender,11732,m,fm
gender,11747,m,empty
gender,11758,f,empty
gender,11781,f,rf
gender,11798,f,empty
gender,11874,m,empty
gender,11885,f,empty
gender,11903,f,xf
gender,11973,m,empty
gender,12021,f,empty
gender,12052,f,empty
gender,12068,f,***
gender,12131,f,***
gender,12172,f,empty
gender,12183,f,***
gender,12195,f,empty
gender,12240,f,empty
gender,12254,f,***
gender,12308,m,empty
gender,12321,f,***
gender,12384,m,empty
gender,12438,m,***
gender,12525,f,lf
gender,12530,f,empty
gender,12551,m,empty
gender,12566,m,empty
gender,12600,m,empty
gender,12609,m,wm
gender,12617,f,***
gender,12622,f,***
gender,12630,f,empty
gender,12653,f,***
gender,12662,f,empty
gender,12687,m,cm
gender,12714,f,jf
gender,12729,m,empty
gender,12814,f,***
gender,12829,m,empty
gender,12837,f,lf
gender,12887,m,im
gender,12907,f,empty
gender,12943,f,empty
gender,12973,m,empty
gender,12985,f,empty
gender,12999,f,empty
gender,13054,f,vf
gender,13113,f,empty
gender,13127,m,empty
gender,13128,f,empty
gender,13158,f,empty
gender,13159,f,mf
gender,13204,f,empty
gender,13219,m,empty
gender,13270,m,***
gender,13283,m,ym
gender,13326,f,zf
gender,13366,f,***
gender,13415,m,empty
gender,13418,f,***
gender,13445,f,***
gender,13489,f,empty
gender,13521,f,empty
gender,13528,m,empty
gender,13584,f,sf
gender,13637,f,nf
gender,13647,f,empty
gender,13669,m,***
gender,13678,f,***
gender,13706,f,***
gender,13708,m,am
gender,13734,m,mm
gender,13762,f,vf
gender,13849,f,empty
gender,13866,m,empty
gender,13967,f,yf
gender,14017,f,empty
gender,14018,f,***
gender,14019,f,empty
gender,14027,f,empty
gender,14038,f,empty
gender,14058,f,empty
gender,14066,f,***
gender,14141,f,empty
gender,14142,m,empty
gender,14172,f,***
gender,14246,f,if
gender,14288,m,zm
gender,14290,m,empty
gender,14306,f,empty
gender,14375,m,empty
gender,14384,f,***
gender,14476,f,yf
gender,14481,f,empty
gender,14595,f,empty
gender,14648,f,ff
gender,14711,f,empty
gender,14733,f,empty
gender,14753,m,empty
gender,14798,f,empty
gender,14860,f,empty
gender,14890,m,empty
gender,14942,f,ff
gender,14987,f,vf
gender,14988,f,empty
gender,15078,m,empty
gender,15118,m,empty
gender,15143,f,cf
gender,15144,f,empty
gender,15238,m,empty
gender,15242,m,km
gender,15252,f,cf
gender,15306,f,empty
gender,15316,m,empty
gender,15428,m,empty
gender,15431,f,empty
gender,15433,f,empty
gender,15438,m,empty
gender,15509,f,***
gender,15548,f,***
gender,15599,f,***
gender,15639,f,***
gender,15677,m,empty
gender,15687,f,empty
gender,15738,f,***
gender,15765,f,empty
gender,15769,f,empty
gender,15797,f,***
gender,16000,f,xf
gender,16028,m,empty
gender,16032,f,***
gender,16115,f,empty
gender,16178,m,empty
gender,16219,f,empty
gender,16245,m,empty
gender,16246,m,jm
gender,16295,f,***
gender,16309,m,empty
gender,16336,f,empty
gender,16337,f,***
gender,16367,f,vf
gender,16449,f,empty
gender,16550,m,empty
gender,16587,f,empty
gender,16661,m,empty
gender,16663,f,empty
gender,16673,m,empty
gender,16678,f,empty
gender,16692,f,empty
gender,16736,f,empty
gender,16798,f,kf
gender,16815,f,***
gender,16819,f,***
gender,16865,f,empty
gender,16870,f,empty
gender,16922,f,qf
gender,16932,f,***
gender,16937,f,empty
gender,17049,m,empty
gender,17052,m,empty
gender,17086,f,***
gender,17113,m,empty
gender,17148,m,empty
gender,17152,f,empty
gender,17176,f,yf
gender,17193,f,empty
gender,17227,f,rf
gender,17233,m,am
gender,17237,f,***
gender,17369,f,empty
gender,17387,m,empty
gender,17391,f,empty
gender,17404,f,***
gender,17406,m,empty
gender,17431,f,empty
gender,17460,m,***
gender,17481,f,empty
gender,17492,f,empty
gender,17517,f,empty
gender,17518,f,zf
gender,17529,m,empty
gender,17545,m,empty
gender,17557,f,empty
gender,17561,m,nm
gender,17641,f,pf
gender,17647,m,empty
gender,17703,f,***
gender,17750,m,***
gender,17758,f,***
gender,17759,m,***
gender,17777,f,sf
gender,17791,m,empty
gender,17795,m,***
gender,17800,f,empty
gender,17817,f,empty
gender,17857,f,empty
gender,17862,m,empty
gender,17891,f,empty
gender,17911,f,***
gender,17963,f,empty
gender,17974,f,***
gender,18014,m,empty
gender,18040,f,jf
gender,18085,m,om
gender,18087,f,empty
gender,18135,m,empty
gender,18332,m,***
gender,18337,f,***
gender,18365,f,nf
gender,18385,m,empty
gender,18387,m,empty
gender,18446,f,empty
gender,18448,f,empty
gender,18499,f,***
gender,18557,m,***
gender,18640,m,empty
gender,18697,m,empty
gender,18700,f,zf
gender,18735,f,empty
gender,18890,f,empty
gender,18894,f,df
gender,18916,m,empty
gender,18965,f,empty
gender,18995,m,empty
gender,19069,m,empty
gender,19076,f,af
gender,19088,f,empty
gender,19124,m,vm
