Attribute,Index,Dirty Value,Clean Value
city,304,athl,athol
city,470,gordonvnille,gordonville
city,474,richmnd,richmond
city,479,new hyde ark,new hyde park
city,513,ouglasville,douglasville
city,661,ellvendale,ellendale
city,849,greenwodo,greenwood
city,1175,berkshitre,berkshire
city,1191,monroe ridge,monroe bridge
city,1434,bettertno,betterton
city,2389,ssoo,soso
city,3090,mas,mars
city,3512,pensacolqa,pensacola
city,3578,for benning,fort benning
city,3859,lat rock,flat rock
city,3864,avonomre,avonmore
city,3934,new yokr,new york
city,4097,esat dover,east dover
city,4118,locust groave,locust grove
city,4635,eatville,eastville
city,4849,kaccident,accident
city,5196,north sroyalton,north royalton
city,5279,allrved,allred
city,5644,mnatee,mantee
city,5726,ashevilel,asheville
city,6361,wes middletown,west middletown
city,6513,ashevillae,asheville
city,6849,crowdeur,crowder
city,7354,hrartford,hartford
city,7389,amagnda,amanda
city,7429,randdolph center,randolph center
city,7733,hrntown,horntown
city,7736,ybartlett,bartlett
city,7836,abileyville,baileyville
city,7853,heldon springs,sheldon springs
city,7908,byamon,bayamon
city,8024,gupnowder,gunpowder
city,8195,ferndwood,fernwood
city,8258,antriwm,antrim
city,8298,edcherd,decherd
city,8428,ear,bear
city,8443,barkersfield,bakersfield
city,8453,pcikerington,pickerington
city,8491,mwemphis,memphis
city,8572,hicfkory flat,hickory flat
city,8616,adprian,adrian
city,8724,ellentno,ellenton
city,8865,agwam,agawam
city,8895,mecroft,melcroft
city,9078,saxibs,saxis
city,9103,bakersfielnd,bakersfield
city,9139,socoda,oscoda
city,9159,north try,north troy
city,9217,washingon,washington
city,9462,ew gloucester,new gloucester
city,9517,clerumont,clermont
city,10066,agawm,agawam
city,10182,roangeburg,orangeburg
city,10315,new hampon,new hampton
city,10331,emast barre,east barre
city,10444,smithfiedl,smithfield
city,10464,charelston afb,charleston afb
city,10511,saten island,staten island
city,10517,saheville,asheville
city,10783,clarksvilel,clarksville
city,10795,charlote,charlotte
city,11074,bosthon,boston
city,11218,avaln,avalon
city,11237,niney six,ninety six
city,11432,hamptno bays,hampton bays
city,11848,emarest,demarest
city,11993,old fot,old fort
city,12004,buttzvmille,buttzville
city,12730,port bjefferson,port jefferson
city,12843,jacksonvilleb each,jacksonville beach
city,12904,nefwry,newry
city,13366,ltroy,troy
city,13400,poep,pope
city,13402,reliane,reliance
city,13580,swasnea,swansea
city,13685,maxe,maxie
city,13691,indianaoplis,indianapolis
city,13787,adiarsville,adairsville
city,13894,dulqles,dulles
city,14101,asehville,asheville
city,14195,aveune,avenue
city,14231,milpton,milton
city,14310,curis bay,curtis bay
city,14336,holdien,holden
city,14700,barotley,bartley
city,15025,atalnta,atlanta
city,15123,ihram,hiram
city,15259,dilltonw,dilltown
city,15307,sow camp,snow camp
city,15387,bth,bath
city,15448,bakersifeld,bakersfield
city,15764,centreport,centerport
city,15918,auiley,ailey
city,15950,slylvester,sylvester
city,16005,ewark,newark
city,16252,inchester center,winchester center
city,16287,harperivlle,harperville
city,16498,north htafield,north hatfield
city,16686,quaknertown,quakertown
city,16916,backsburg,blacksburg
city,17162,ashevilel,asheville
city,17288,redding centre,redding center
city,17441,barwnell,barnwell
city,17464,hialebah,hialeah
city,17572,anapolis,annapolis
city,17593,ashevilel,asheville
city,17677,baer,bear
city,17827,randersonville,andersonville
city,17955,prarieton,prairieton
city,18320,lufbec,lubec
city,18407,plmouth,plymouth
city,18679,cochcton,cochecton
city,18688,agusta,augusta
city,18761,marysvilel,marysville
city,18859,lcinton,clinton
city,18869,bakre,baker
city,18891,pne grove,pine grove
city,19087,gareensboro,greensboro
city,19128,attleboro flls,attleboro falls
city,19336,wytopitllock,wytopitlock
city,19374,buarnstead,barnstead
city,19391,bedminester,bedminster
city,19394,fort wanye,fort wayne
city,19452,bacnoton,baconton
city,19623,atalnta,atlanta
city,19633,brunswikc,brunswick
city,19707,bartlett***,bartlett
city,19898,moogreland,mooreland
city,19952,byamon,bayamon
state,0,empty,ma
state,23,vw,wv
state,67,empty,nj
state,77,oct,ct
state,215,c,dc
state,253,cd,dc
state,255,empty,pa
state,260,cd,dc
state,289,cd,dc
state,382,val,al
state,397,ttn,tn
state,442,uct,ct
state,445,empty,md
state,466,cd,dc
state,507,empty,nc
state,568,ed,de
state,615,ap,pa
state,725,la,al
state,726,la,al
state,734,l,al
state,738,t,ct
state,752,cd,dc
state,785,yn,ny
state,791,cd,dc
state,860,tc,ct
state,861,ag,ga
state,865,c,dc
state,1000,aal,al
state,1047,e,de
state,1059,dac,dc
state,1103,tc,ct
state,1147,kva,va
state,1186,c,dc
state,1195,c,dc
state,1214,empty,pa
state,1230,empty,ga
state,1238,l,al
state,1343,t,ct
state,1375,cd,dc
state,1377,doe,de
state,1469,empty,nc
state,1514,y,ny
state,1611,empty,mi
state,1613,cs,sc
state,1679,vw,wv
state,1681,empty,fl
state,1751,mdc,dc
state,1759,zde,de
state,1773,anj,nj
state,1776,empty,ma
state,1784,empty,ky
state,1850,nct,ct
state,1854,udc,dc
state,1894,empty,ms
state,1922,tc,ct
state,1927,e,de
state,1931,c,dc
state,1986,la,al
state,2008,tc,ct
state,2020,tc,ct
state,2043,ed,de
state,2055,empty,dc
state,2071,hn,nh
state,2095,c,dc
state,2101,cut,ct
state,2113,c,dc
state,2157,e,de
state,2160,c,dc
state,2205,cut,ct
state,2222,qdc,dc
state,2233,ed,de
state,2276,e,de
state,2280,tc,ct
state,2316,empty,vt
state,2324,ndc,dc
state,2334,cd,dc
state,2386,tc,ct
state,2394,fdc,dc
state,2400,mks,ms
state,2415,la,al
state,2475,y,ny
state,2488,tc,ct
state,2491,tc,ct
state,2525,empty,wv
state,2621,ed,de
state,2632,tc,ct
state,2663,cd,dc
state,2679,empty,va
state,2722,cd,dc
state,2734,arl,al
state,2763,empty,md
state,2806,ap,pa
state,2829,cd,dc
state,2834,s,ms
state,2864,tc,ct
state,2890,zal,al
state,2938,jdc,dc
state,2944,t,ct
state,2995,ed,de
state,3009,gna,ga
state,3019,e,de
state,3046,cd,dc
state,3082,t,ct
state,3089,tc,ct
state,3106,empty,al
state,3117,dtn,tn
state,3132,la,al
state,3183,empty,ct
state,3184,empty,nc
state,3220,empty,al
state,3230,dic,dc
state,3344,l,al
state,3348,tc,ct
state,3367,t,ct
state,3417,empty,wv
state,3468,empty,ky
state,3483,cd,dc
state,3502,tc,ct
state,3574,cd,dc
state,3603,ect,ct
state,3639,la,al
state,3744,tc,ct
state,3760,ed,de
state,3764,tc,ct
state,3780,la,al
state,3787,ed,de
state,3817,c,dc
state,3878,t,ct
state,3887,hde,de
state,3894,la,al
state,3914,empty,dc
state,3916,cd,dc
state,3946,c,dc
state,3953,e,de
state,3958,la,al
state,3963,empty,mi
state,3967,e,de
state,3998,c,dc
state,3999,cd,dc
state,4005,cd,dc
state,4046,empty,ct
state,4049,e,de
state,4120,nde,de
state,4169,e,de
state,4302,cd,dc
state,4314,c,dc
state,4330,empty,me
state,4343,empty,ct
state,4354,tc,ct
state,4382,y,ny
state,4502,mma,ma
state,4532,tc,ct
state,4594,cd,dc
state,4632,die,de
state,4667,cn,nc
state,4696,tc,ct
state,4716,cd,dc
state,4839,empty,ma
state,4896,c,dc
state,4926,empty,pa
state,4952,tc,ct
state,5001,t,ct
state,5026,t,ct
state,5059,empty,ny
state,5096,odc,dc
state,5129,cd,dc
state,5194,cd,dc
state,5261,empty,dc
state,5343,t,ct
state,5368,em,me
state,5441,cd,dc
state,5463,cst,ct
state,5467,tc,ct
state,5497,ed,de
state,5503,empty,me
state,5520,c,dc
state,5535,udc,dc
state,5558,dkc,dc
state,5575,cd,dc
state,5582,doc,dc
state,5583,c,dc
state,5626,ode,de
state,5627,dvc,dc
state,5630,c,dc
state,5646,i,mi
state,5680,empty,ma
state,5720,c,dc
state,5790,empty,va
state,5804,t,ct
state,5853,djc,dc
state,5885,cd,dc
state,5902,cd,dc
state,5907,empty,ky
state,5911,c,dc
state,5937,dhc,dc
state,5942,c,dc
state,5953,ag,ga
state,5961,c,dc
state,5985,tc,ct
state,6019,em,me
state,6073,empty,al
state,6083,tc,ct
state,6107,e,de
state,6116,e,de
state,6146,t,ct
state,6156,c,dc
state,6173,cd,dc
state,6175,tc,ct
state,6192,dde,de
state,6212,t,ct
state,6260,c,dc
state,6264,cd,dc
state,6291,tc,ct
state,6293,dzc,dc
state,6304,c,dc
state,6320,dvc,dc
state,6326,dsc,dc
state,6334,lct,ct
state,6384,cd,dc
state,6437,e,de
state,6440,la,al
state,6442,cd,dc
state,6466,e,de
state,6470,c,dc
state,6503,dpc,dc
state,6504,dje,de
state,6519,i,mi
state,6522,ed,de
state,6525,c,dc
