Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: name, MSE: nan, Jaccard: 0.0
Attribute: surname, MSE: nan, Jaccard: 0.3623117119824676
Attribute: birthyear, MSE: nan, Jaccard: 0.4706915073403134
Attribute: birthplace, MSE: nan, Jaccard: 0.40265171393702537
Attribute: position, MSE: nan, Jaccard: 0.8773309934164295
Attribute: team, MSE: nan, Jaccard: 0.7241233229578774
Attribute: city, MSE: nan, Jaccard: 0.0
Attribute: stadium, MSE: nan, Jaccard: 0.8372341084570855
Attribute: season, MSE: nan, Jaccard: 0.0
Attribute: manager, MSE: nan, Jaccard: 0.0
加权混合距离: 0.1670156071859636
