Attribute,Index,Dirty Value,Cleaned Value
surname,76,empty,vafaie
surname,90,ro;dl,rodl
surname,100,ermp,remp
surname,172,ro;dl,rodl
surname,264,olzberger,molzberger
surname,282,empty,ruocco
surname,349,strevetll,strevell
surname,365,empty,burtschick
surname,430,empty,rezende
surname,498,empty,kadar
surname,561,strwevell,strevell
surname,616,ro;dl,rodl
surname,710,empty,grems
surname,713,empty,spehner
surname,767,ro;dl,rodl
surname,784,agman,cagman
surname,967,empty,cagman
surname,971,empty,rodl
surname,985,empty,gull
surname,1016,empty,spehner
surname,1117,empty,weener
surname,1121,empty,wolin
surname,1127,empty,nurmeev
surname,1235,empty,cucka
surname,1316,olzberger,molzberger
surname,1345,empty,newstead
surname,1389,empty,strohmeir
surname,1448,empty,kavasseri
surname,1449,awakami,kawakami
surname,1508,empty,bollman
surname,1521,empty,capps
surname,1533,empty,favre
surname,1574,empty,kavasseri
surname,1615,empty,matyska
surname,1637,empty,sherratt
surname,1676,empty,kusakabe
surname,1715,empty,bollman
surname,1716,empty,blaschek
surname,1738,ro;dl,rodl
surname,1739,empty,kopanas
surname,1748,empty,rudstrom
surname,1752,empty,berrebi
surname,1775,empty,kopanas
surname,1823,empty,badache
surname,1876,empty,zajak
surname,1886,sherrtat,sherratt
surname,1926,empty,matyska
surname,1929,empty,vafaie
surname,1935,empty,bowhill
surname,2126,empty,yntema
surname,2186,empty,keskin
surname,2201,empty,berthiaume
surname,2204,kbuttyan,buttyan
surname,2240,empty,blix
surname,2306,empty,felciano
surname,2311,empty,harbison
surname,2357,empty,hofstetter
surname,2384,empty,mallorqui
surname,2448,ro;dl,rodl
surname,2527,ro;dl,rodl
surname,2534,empty,gabalda
surname,2546,ro;dl,rodl
surname,2554,empty,hennebert
surname,2601,empty,badache
surname,2611,empty,vieri
surname,2631,empty,favre
surname,2633,empty,kavvadias
surname,2681,empty,dedood
surname,2705,empty,farrag
surname,2784,empty,tomii
surname,2792,empty,weener
surname,2800,empty,noltemeier
surname,2816,empty,rudstrom
surname,2820,empty,yntema
surname,2864,empty,besancenot
surname,2873,ecagman,cagman
surname,3008,opanas,kopanas
surname,3022,vcippico,cippico
surname,3025,empty,danneberg
surname,3049,empty,leenaerts
surname,3128,empty,cucka
surname,3194,ro;dl,rodl
surname,3232,empty,timkovsky
surname,3240,empty,waldherr
surname,3295,empty,kopanas
surname,3377,empty,musselman
surname,3401,attison,mattison
surname,3404,empty,rahmat
surname,3451,empty,nozaka
surname,3465,empty,babb
surname,3471,empty,berrebi
surname,3479,empty,tomii
surname,3505,empty,palomar
surname,3541,empty,felciano
surname,3610,empty,goni
surname,3685,empty,felciano
surname,3696,empty,llewellyn
surname,3697,empty,sokolin
surname,3704,empty,babb
surname,3764,empty,heiserman
surname,3810,empty,borgelt
surname,3863,empty,longobardi
surname,3872,empty,clark
surname,3875,empty,munster
surname,4149,empty,walrath
surname,4157,empty,tischendorf
surname,4169,empty,zallocco
surname,4173,empty,heiserman
surname,4202,empty,cucka
surname,4282,empty,lebib
surname,4351,ro;dl,rodl
surname,4401,empty,schachter
surname,4421,empty,benn
surname,4463,empty,gabalda
surname,4497,ro;dl,rodl
surname,4510,empty,poulin
surname,4520,empty,rael
surname,4555,empty,kappner
surname,4600,ro;dl,rodl
surname,4609,empty,rayne
surname,4673,ehnnebert,hennebert
surname,4724,empty,otillio
surname,4761,empty,sittig
surname,4783,empty,weatherhead
surname,4877,sherrzatt,sherratt
surname,4889,empty,longobardi
surname,4912,abb,babb
surname,4949,empty,mallorqui
surname,4956,empty,latch
surname,4964,ro;dl,rodl
surname,4974,empty,osterloh
surname,4984,empty,kwasny
surname,5042,empty,usha
surname,5073,ro;dl,rodl
surname,5083,empty,rikino
surname,5110,ro;dl,rodl
surname,5161,ro;dl,rodl
surname,5253,empty,rouchaleau
surname,5284,udelmaier,hudelmaier
surname,5295,empty,broch
surname,5414,ighe,dighe
surname,5483,empty,batz
surname,5538,empty,weener
surname,5683,empty,kavasseri
surname,5702,empty,hofstetter
surname,5707,empty,haining
surname,5709,krayne,rayne
surname,5724,empty,wolin
surname,5735,empty,cun
surname,5752,empty,besancenot
surname,5773,empty,bollman
surname,5789,unster,munster
surname,5802,empty,kehrer
surname,5819,empty,stolovitch
surname,5844,empty,noltemeier
surname,5847,empty,kubicar
surname,5858,empty,broch
surname,5876,ro;dl,rodl
surname,5881,empty,roeseler
surname,5913,empty,fabrizio
surname,5914,empty,herger
surname,6115,empty,benaini
surname,6141,empty,bottreau
surname,6144,empty,haining
surname,6201,empty,zajak
surname,6209,empty,shackel
surname,6237,empty,scofield
surname,6257,empty,muluszynski
surname,6258,empty,kadar
surname,6286,empty,weener
surname,6325,empty,gawlick
surname,6403,ffarrag,farrag
surname,6409,empty,abraham
surname,6434,empty,gubitoso
surname,6437,ro;dl,rodl
surname,6493,empty,palomar
surname,6509,empty,felciano
surname,6682,ro;dl,rodl
surname,6686,empty,cagman
surname,6852,empty,guerriero
surname,6863,empty,saloma
surname,6928,empty,cagman
surname,6989,erby,derby
surname,7023,empty,kehrer
surname,7041,empty,weener
surname,7121,empty,gawlick
surname,7152,empty,strohmeir
surname,7171,empty,hudelmaier
surname,7210,ro;dl,rodl
surname,7237,empty,herger
surname,7240,empty,tchernykh
surname,7370,empty,tomii
surname,7405,ro;dl,rodl
surname,7464,empty,harloff
surname,7473,ro;dl,rodl
surname,7481,empty,noltemeier
surname,7526,empty,blaschek
surname,7533,empty,kusakabe
surname,7538,avre,favre
surname,7580,ro;dl,rodl
surname,7602,empty,lichnewsky
surname,7632,empty,macgregor
surname,7668,trevell,strevell
surname,7686,ro;dl,rodl
surname,7743,empty,kopanas
surname,7769,empty,kontos
surname,7786,empty,waldherr
surname,7790,wasny,kwasny
surname,7791,empty,knauff
surname,7853,alpuenvte,alpuente
surname,7942,empty,spehner
surname,7944,empty,remp
surname,7963,empty,kraetzl
surname,8000,empty,pierro
surname,8005,empty,pierro
surname,8065,ro;dl,rodl
surname,8075,empty,guyton
surname,8124,opanas,kopanas
surname,8127,utlley,tulley
surname,8170,avre,favre
surname,8201,empty,rayne
surname,8325,empty,godo
surname,8359,odo,godo
surname,8369,empty,dighe
surname,8496,ro;dl,rodl
surname,8550,empty,kusakabe
surname,8578,ro;dl,rodl
surname,8602,empty,musselman
surname,8619,empty,spehner
surname,8635,empty,grems
surname,8668,ebrtsekas,bertsekas
surname,8704,ro;dl,rodl
surname,8748,odedood,dedood
surname,8796,empty,macgregor
surname,8864,empty,pascual
surname,8894,empty,wolin
surname,8942,empty,lichnewsky
surname,8952,empty,rael
surname,8962,empty,felciano
surname,9099,wzabele,zabele
surname,9116,empty,cagman
surname,9141,enaini,benaini
surname,9154,empty,senator
surname,9167,empty,nuzman
surname,9234,empty,derby
surname,9252,empty,rensink
surname,9255,empty,otillio
surname,9264,ull,gull
surname,9274,uluszynski,muluszynski
surname,9306,empty,musselman
surname,9307,empty,felciano
surname,9357,empty,cucka
surname,9430,empty,togni
surname,9455,empty,favre
surname,9478,empty,schachter
surname,9497,empty,goss
surname,9507,empty,dighe
surname,9568,empty,favre
surname,9676,empty,guoxing
surname,9744,empty,musselman
surname,9836,allorqui,mallorqui
surname,9876,eddood,dedood
surname,9914,empty,wolin
surname,9915,empty,newstead
surname,9964,ieri,vieri
surname,9972,empty,godo
birthyear,7,192,1984
birthyear,33,1f975,1975
birthyear,67,empty,1990
birthyear,91,empty,1990
birthyear,130,997,1984
birthyear,169,empty,1984
birthyear,175,1928,1982
birthyear,192,empty,1984
birthyear,201,992,1984
birthyear,204,992,1984
birthyear,273,199,1984
birthyear,388,empty,1984
birthyear,464,1977***,1997
birthyear,494,empty,1992
birthyear,547,empty,1996
birthyear,557,976,1984
birthyear,617,189999999999999998734155097088932991697089216198401133300262064654766651262107648,1979
birthyear,657,1990***,1997
birthyear,658,empty,1990
birthyear,661,empty,1991
birthyear,681,empty,1998
birthyear,739,empty,1992
birthyear,750,inf,1983
birthyear,842,997,1984
birthyear,847,990,1984
birthyear,871,192,1984
birthyear,874,1997***,1997
birthyear,909,996,1984
birthyear,930,empty,1978
birthyear,985,177,1984
birthyear,1008,empty,1982
birthyear,1019,183,1984
birthyear,1064,194,1984
birthyear,1108,990,1984
birthyear,1123,197,1984
birthyear,1151,empty,1976
birthyear,1170,empty,1989
birthyear,1180,empty,1988
birthyear,1202,191,1984
birthyear,1267,198g4,1984
birthyear,1287,1d982,1982
birthyear,1294,empty,1978
birthyear,1342,empty,1992
birthyear,1368,19r90,1990
birthyear,1403,empty,1989
birthyear,1430,1928,1982
birthyear,1497,19g84,1984
birthyear,1530,191,1984
birthyear,1579,992,1984
birthyear,1590,empty,1975
birthyear,1604,198,1984
birthyear,1615,empty,1978
birthyear,1639,1991***,1997
birthyear,1724,19n76,1976
birthyear,1754,19q76,1976
birthyear,1791,empty,1984
birthyear,1799,19p78,1978
birthyear,1808,989,1984
birthyear,1828,992,1984
birthyear,1855,992,1984
birthyear,1881,997,1984
birthyear,1882,empty,1984
birthyear,1887,1r984,1984
birthyear,1900,984,1984
birthyear,1931,empty,1988
birthyear,1972,empty,1983
birthyear,1973,975,1984
birthyear,1988,empty,1977
birthyear,1991,empty,1983
birthyear,2012,990,1984
birthyear,2053,1q990,1990
birthyear,2119,176,1984
birthyear,2173,199h1,1991
birthyear,2180,empty,1983
birthyear,2239,190,1984
birthyear,2338,empty,1983
birthyear,2384,empty,1980
birthyear,2391,978,1984
birthyear,2470,192,1984
birthyear,2502,empty,1993
birthyear,2542,empty,1993
birthyear,2544,empty,1984
birthyear,2553,empty,1984
birthyear,2608,199z7,1997
birthyear,2654,991,1984
birthyear,2674,19g97,1997
birthyear,2723,empty,1981
birthyear,2730,empty,1983
birthyear,2745,y1988,1988
birthyear,2790,984,1984
birthyear,2798,978,1984
birthyear,2935,s1983,1983
birthyear,3000,empty,1983
birthyear,3015,192,1984
birthyear,3026,empty,1984
birthyear,3066,978,1984
birthyear,3122,180,1984
birthyear,3141,empty,1976
birthyear,3172,991,1984
birthyear,3192,empty,1992
birthyear,3193,190,1984
birthyear,3197,empty,1984
birthyear,3198,empty,1991
birthyear,3264,198x8,1988
birthyear,3332,empty,1984
birthyear,3384,19000000000000001777369121119351456119351921765605704372162215764939342617718772661026034550833152,1996
birthyear,3389,193,1984
birthyear,3397,991,1984
birthyear,3398,1x990,1990
birthyear,3437,984,1984
birthyear,3548,179,1984
birthyear,3581,19x80,1980
birthyear,3602,190,1984
