Attribute,Index,Dirty Value,Cleaned Value,Clean Value
surname,90,ro;dl,rodl,ro;dl
surname,172,ro;dl,rodl,ro;dl
surname,616,ro;dl,rodl,ro;dl
surname,767,ro;dl,rodl,ro;dl
surname,971,empty,rodl,ro;dl
surname,1016,empty,spehner,mccain
surname,1738,ro;dl,rodl,ro;dl
surname,2448,ro;dl,rodl,ro;dl
surname,2527,ro;dl,rodl,ro;dl
surname,2546,ro;dl,rodl,ro;dl
surname,3194,ro;dl,rodl,ro;dl
surname,4351,ro;dl,rodl,ro;dl
surname,4497,ro;dl,rodl,ro;dl
surname,4600,ro;dl,rodl,ro;dl
surname,4964,ro;dl,rodl,ro;dl
surname,5073,ro;dl,rodl,ro;dl
surname,5110,ro;dl,rodl,ro;dl
surname,5161,ro;dl,rodl,ro;dl
surname,5876,ro;dl,rodl,ro;dl
surname,6437,ro;dl,rodl,ro;dl
surname,6682,ro;dl,rodl,ro;dl
surname,7210,ro;dl,rodl,ro;dl
surname,7405,ro;dl,rodl,ro;dl
surname,7473,ro;dl,rodl,ro;dl
surname,7580,ro;dl,rodl,ro;dl
surname,7686,ro;dl,rodl,ro;dl
surname,7942,empty,spehner,alpuente
surname,8065,ro;dl,rodl,ro;dl
surname,8496,ro;dl,rodl,ro;dl
surname,8578,ro;dl,rodl,ro;dl
surname,8619,empty,spehner,mccain
surname,8704,ro;dl,rodl,ro;dl
birthyear,7,192,1984,1992
birthyear,130,997,1984,1997
birthyear,201,992,1984,1992
birthyear,204,992,1984,1992
birthyear,273,199,1984,1979
birthyear,464,1977***,1997,1977
birthyear,557,976,1984,1976
birthyear,657,1990***,1997,1990
birthyear,842,997,1984,1997
birthyear,847,990,1984,1990
birthyear,871,192,1984,1982
birthyear,909,996,1984,1996
birthyear,985,177,1984,1977
birthyear,1019,183,1984,1983
birthyear,1064,194,1984,1994
birthyear,1108,990,1984,1990
birthyear,1123,197,1984,1997
birthyear,1202,191,1984,1991
birthyear,1530,191,1984,1991
birthyear,1579,992,1984,1992
birthyear,1604,198,1984,1978
birthyear,1639,1991***,1997,1991
birthyear,1808,989,1984,1989
birthyear,1828,992,1984,1992
birthyear,1855,992,1984,1992
birthyear,1881,997,1984,1997
birthyear,1973,975,1984,1975
birthyear,2012,990,1984,1990
birthyear,2119,176,1984,1976
birthyear,2239,190,1984,1990
birthyear,2391,978,1984,1978
birthyear,2470,192,1984,1992
birthyear,2654,991,1984,1991
birthyear,2798,978,1984,1978
birthyear,3015,192,1984,1992
birthyear,3066,978,1984,1978
birthyear,3122,180,1984,1980
birthyear,3172,991,1984,1991
birthyear,3193,190,1984,1990
birthyear,3389,193,1984,1983
birthyear,3397,991,1984,1991
birthyear,3548,179,1984,1979
birthyear,3602,190,1984,1990
birthyear,3720,992,1984,1992
birthyear,3742,194,1984,1994
birthyear,3787,979,1984,1979
birthyear,3789,195,1984,1995
birthyear,3847,991,1984,1991
birthyear,3959,976,1984,1976
birthyear,4002,990,1984,1990
birthyear,4090,194,1984,1994
birthyear,4148,1988***,1997,1988
birthyear,4195,978,1984,1978
birthyear,4295,190,1984,1990
birthyear,4492,197,1984,1997
birthyear,4576,997,1984,1997
birthyear,4616,976,1984,1976
birthyear,4761,1991***,1997,1991
birthyear,4770,191,1984,1991
birthyear,4818,979,1984,1979
birthyear,4833,190,1984,1980
birthyear,4924,178,1984,1978
birthyear,5024,198,1984,1978
birthyear,5122,981,1984,1981
birthyear,5148,192,1984,1992
birthyear,5164,190,1984,1990
birthyear,5171,990,1984,1990
birthyear,5173,196,1984,1976
birthyear,5348,197,1984,1997
birthyear,5357,190,1984,1980
birthyear,5384,982,1984,1982
birthyear,5467,190,1984,1990
birthyear,5530,1992***,1997,1992
birthyear,5586,1990***,1997,1990
birthyear,5604,994,1984,1994
birthyear,5619,996,1984,1996
birthyear,5712,191,1984,1991
birthyear,6012,995,1984,1995
birthyear,6054,978,1984,1978
birthyear,6222,182,1984,1982
birthyear,6385,990,1984,1990
birthyear,6418,992,1984,1992
birthyear,6514,195,1984,1985
birthyear,6579,192,1984,1982
birthyear,6587,196,1984,1986
birthyear,6591,1992***,1997,1992
birthyear,6612,1991***,1997,1991
birthyear,6660,182,1984,1982
birthyear,6799,190,1984,1990
birthyear,6872,992,1984,1992
birthyear,6889,991,1984,1991
birthyear,6905,982,1984,1982
birthyear,6913,982,1984,1982
birthyear,6994,177,1984,1977
birthyear,7019,1994***,1997,1994
birthyear,7028,197,1984,1997
birthyear,7207,198,1984,1978
birthyear,7401,977,1984,1977
birthyear,7429,982,1984,1982
birthyear,7494,1988***,1997,1988
birthyear,7520,183,1984,1983
birthyear,7567,179,1984,1979
birthyear,7649,1990***,1997,1990
birthyear,7658,975,1984,1975
birthyear,7791,992,1984,1992
birthyear,7832,1995***,1997,1995
birthyear,7866,992,1984,1992
birthyear,7928,988,1984,1988
birthyear,8025,990,1984,1990
birthyear,8174,195,1984,1995
birthyear,8199,992,1984,1992
birthyear,8246,196,1984,1976
birthyear,8489,192,1984,1982
birthyear,8628,177,1984,1977
birthyear,8675,193,1984,1983
birthyear,8720,183,1984,1983
birthyear,8735,192,1984,1992
birthyear,8758,993,1984,1993
birthyear,8778,988,1984,1988
birthyear,8822,1994***,1997,1994
birthyear,8924,990,1984,1990
birthyear,9019,988,1984,1988
birthyear,9252,196,1984,1976
birthyear,9269,992,1984,1992
birthyear,9275,1977***,1997,1977
birthyear,9313,190,1984,1980
birthyear,9413,182,1984,1982
birthyear,9523,997,1984,1997
birthyear,9624,982,1984,1982
birthyear,9835,190,1984,1990
birthyear,9854,976,1984,1976
birthyear,9893,192,1984,1982
birthyear,9973,975,1984,1975
birthyear,10000,995,1984,1995
birthplace,1000,chicfago,chiacgo,chicago
position,14,empty,forward,defender
