Attribute,Index,Dirty Value,Cleaned Value
surname,5,Obermaier,Bertsekas
surname,32,Obermaier,Bertsekas
surname,92,Waldherr,Gubitoso
surname,97,Milicia,McCain
surname,98,Waldherr,Gubitoso
surname,102,Waldherr,Gubitoso
surname,107,Waldherr,Gubitoso
surname,109,Milicia,Kusakabe
surname,118,Obermaier,Bertsekas
surname,129,Waldherr,Gubitoso
surname,150,Milicia,Blix
surname,222,Obermaier,Bertsekas
surname,225,Waldherr,Gubitoso
surname,229,Waldherr,Gubitoso
surname,237,Milicia,McCain
surname,242,Milicia,Bollman
surname,249,Waldherr,Gubitoso
surname,269,Waldherr,Gubitoso
surname,283,Obermaier,Bertsekas
surname,296,Obermaier,Bertsekas
surname,297,Milicia,Kusakabe
surname,300,Obermaier,Bertsekas
surname,315,Milicia,Babb
surname,355,Waldherr,Gubitoso
surname,377,Milicia,Babb
surname,378,Milicia,Bollman
surname,380,Waldherr,Gubitoso
surname,414,Obermaier,Bertsekas
surname,419,Milicia,Blix
surname,423,Waldherr,Gubitoso
surname,424,Waldherr,Gubitoso
surname,425,Obermaier,Bertsekas
surname,442,Obermaier,Bertsekas
surname,464,Waldherr,Gubitoso
surname,467,Waldherr,Gubitoso
surname,492,Waldherr,Gubitoso
surname,538,Obermaier,Bertsekas
surname,552,Milicia,Guyton
surname,570,Waldherr,Gubitoso
surname,599,Waldherr,Gubitoso
surname,653,Milicia,Blix
surname,673,Waldherr,Gubitoso
surname,682,Obermaier,Bertsekas
surname,702,Waldherr,Gubitoso
surname,731,Obermaier,Bertsekas
surname,749,Milicia,McCain
surname,794,Waldherr,Gubitoso
surname,808,Waldherr,Gubitoso
surname,838,Waldherr,Gubitoso
surname,850,Milicia,Babb
surname,858,Waldherr,Gubitoso
surname,896,Waldherr,Gubitoso
surname,924,Milicia,Noltemeier
surname,982,Obermaier,Bertsekas
surname,994,Waldherr,Gubitoso
surname,1016,Milicia,McCain
surname,1040,Obermaier,Bertsekas
surname,1048,Waldherr,Gubitoso
surname,1057,Milicia,Noltemeier
surname,1063,Milicia,Guyton
surname,1077,Obermaier,Bertsekas
surname,1089,Waldherr,Gubitoso
surname,1090,Waldherr,Gubitoso
surname,1118,Waldherr,Gubitoso
surname,1128,Obermaier,Bertsekas
surname,1141,Obermaier,Bertsekas
surname,1161,Obermaier,Bertsekas
surname,1197,Waldherr,Gubitoso
surname,1203,Waldherr,Gubitoso
surname,1206,Milicia,Bollman
surname,1241,Waldherr,Gubitoso
surname,1243,Milicia,Blix
surname,1245,Waldherr,Gubitoso
surname,1301,Waldherr,Gubitoso
surname,1372,Waldherr,Gubitoso
surname,1374,Milicia,McCain
surname,1375,Milicia,Guyton
surname,1378,Waldherr,Gubitoso
surname,1388,Obermaier,Bertsekas
surname,1421,Waldherr,Gubitoso
surname,1428,Waldherr,Gubitoso
surname,1469,Obermaier,Bertsekas
surname,1497,Obermaier,Bertsekas
surname,1536,Obermaier,Bertsekas
surname,1539,Waldherr,Gubitoso
surname,1544,Waldherr,Gubitoso
surname,1548,Waldherr,Gubitoso
surname,1612,Milicia,McCain
surname,1635,Obermaier,Bertsekas
surname,1649,Waldherr,Gubitoso
surname,1690,Milicia,Guyton
surname,1694,Waldherr,Gubitoso
surname,1702,Milicia,McCain
surname,1732,Milicia,Babb
surname,1737,Milicia,Babb
surname,1760,Obermaier,Bertsekas
surname,1785,Milicia,Babb
surname,1797,Waldherr,Gubitoso
surname,1853,Milicia,Guyton
surname,1871,Waldherr,Gubitoso
surname,1910,Obermaier,Bertsekas
surname,1951,Waldherr,Gubitoso
surname,1976,Milicia,Babb
surname,1987,Waldherr,Gubitoso
surname,1988,Waldherr,Gubitoso
surname,1999,Obermaier,Bertsekas
surname,2033,Obermaier,Bertsekas
surname,2105,Milicia,McCain
surname,2146,Obermaier,Bertsekas
surname,2162,Waldherr,Gubitoso
surname,2179,Waldherr,Gubitoso
surname,2213,Obermaier,Bertsekas
surname,2223,Obermaier,Bertsekas
surname,2250,Milicia,McCain
surname,2255,Milicia,Blix
surname,2297,Milicia,McCain
surname,2372,Waldherr,Gubitoso
surname,2426,Milicia,Blix
surname,2429,Milicia,Babb
surname,2439,Obermaier,Bertsekas
surname,2478,Waldherr,Gubitoso
surname,2496,Milicia,Babb
surname,2502,Milicia,Kusakabe
surname,2514,Milicia,Bollman
surname,2547,Waldherr,Gubitoso
surname,2550,Waldherr,Gubitoso
surname,2566,Obermaier,Bertsekas
surname,2567,Milicia,Babb
surname,2570,Milicia,Babb
surname,2597,Waldherr,Gubitoso
surname,2623,Obermaier,Bertsekas
surname,2651,Milicia,Guyton
surname,2668,Milicia,Kusakabe
surname,2699,Milicia,Bollman
surname,2710,Milicia,Kusakabe
surname,2719,Obermaier,Bertsekas
surname,2724,Waldherr,Gubitoso
surname,2757,Milicia,Kusakabe
surname,2763,Waldherr,Gubitoso
surname,2771,Milicia,Bollman
surname,2776,Obermaier,Bertsekas
surname,2781,Milicia,Kusakabe
surname,2813,Obermaier,Bertsekas
surname,2816,Obermaier,Bertsekas
surname,2848,Waldherr,Gubitoso
surname,2859,Obermaier,Bertsekas
surname,2891,Waldherr,Gubitoso
surname,2922,Waldherr,Gubitoso
surname,2925,Waldherr,Gubitoso
surname,2933,Obermaier,Bertsekas
surname,2946,Waldherr,Gubitoso
surname,2970,Milicia,Blix
surname,2983,Obermaier,Bertsekas
surname,3017,Waldherr,Gubitoso
surname,3022,Obermaier,Bertsekas
surname,3058,Waldherr,Gubitoso
surname,3078,Milicia,Blix
surname,3103,Milicia,Babb
surname,3106,Obermaier,Bertsekas
surname,3125,Waldherr,Gubitoso
surname,3133,Waldherr,Gubitoso
surname,3183,Obermaier,Bertsekas
surname,3185,Waldherr,Gubitoso
surname,3204,Waldherr,Gubitoso
surname,3230,Milicia,Noltemeier
surname,3241,Waldherr,Gubitoso
surname,3280,Waldherr,Gubitoso
surname,3284,Waldherr,Gubitoso
surname,3352,Waldherr,Gubitoso
surname,3368,Milicia,Babb
surname,3376,Waldherr,Gubitoso
surname,3433,Milicia,Bollman
surname,3478,Obermaier,Bertsekas
surname,3497,Obermaier,Bertsekas
surname,3527,Waldherr,Gubitoso
surname,3564,Obermaier,Bertsekas
surname,3573,Milicia,Guyton
surname,3575,Obermaier,Bertsekas
surname,3581,Waldherr,Gubitoso
surname,3627,Obermaier,Bertsekas
surname,3652,Waldherr,Gubitoso
surname,3665,Waldherr,Gubitoso
surname,3690,Waldherr,Gubitoso
surname,3710,Milicia,Babb
surname,3749,Milicia,Noltemeier
surname,3766,Milicia,Noltemeier
surname,3773,Waldherr,Gubitoso
surname,3775,Waldherr,Gubitoso
surname,3776,Obermaier,Bertsekas
surname,3796,Milicia,Guyton
surname,3801,Waldherr,Gubitoso
surname,3816,Waldherr,Gubitoso
surname,3830,Waldherr,Gubitoso
surname,3871,Waldherr,Gubitoso
surname,3965,Milicia,McCain
surname,3999,Milicia,Kusakabe
surname,4011,Obermaier,Bertsekas
surname,4019,Waldherr,Gubitoso
surname,4034,Obermaier,Bertsekas
surname,4060,Obermaier,Bertsekas
surname,4128,Waldherr,Gubitoso
surname,4145,Waldherr,Gubitoso
surname,4164,Milicia,Kusakabe
surname,4179,Waldherr,Gubitoso
surname,4181,Waldherr,Gubitoso
surname,4239,Waldherr,Gubitoso
surname,4255,Waldherr,Gubitoso
surname,4261,Waldherr,Gubitoso
surname,4271,Waldherr,Gubitoso
surname,4283,Waldherr,Gubitoso
surname,4324,Milicia,McCain
surname,4369,Waldherr,Gubitoso
surname,4386,Obermaier,Bertsekas
surname,4388,Waldherr,Gubitoso
surname,4427,Waldherr,Gubitoso
surname,4429,Milicia,Babb
surname,4441,Obermaier,Bertsekas
surname,4483,Milicia,McCain
surname,4498,Waldherr,Gubitoso
surname,4602,Waldherr,Gubitoso
surname,4630,Milicia,Kusakabe
surname,4636,Waldherr,Gubitoso
surname,4638,Waldherr,Gubitoso
surname,4643,Waldherr,Gubitoso
surname,4650,Obermaier,Bertsekas
surname,4700,Obermaier,Bertsekas
surname,4708,Waldherr,Gubitoso
surname,4712,Obermaier,Bertsekas
surname,4733,Obermaier,Bertsekas
surname,4756,Milicia,McCain
surname,4768,Milicia,McCain
surname,4776,Waldherr,Gubitoso
surname,4784,Waldherr,Gubitoso
surname,4796,Milicia,Blix
surname,4800,Waldherr,Gubitoso
surname,4808,Milicia,Babb
surname,4843,Obermaier,Bertsekas
surname,4852,Milicia,Blix
surname,4878,Obermaier,Bertsekas
surname,4921,Waldherr,Gubitoso
surname,4933,Waldherr,Gubitoso
surname,4934,Waldherr,Gubitoso
surname,4950,Waldherr,Gubitoso
surname,5011,Waldherr,Gubitoso
surname,5030,Obermaier,Bertsekas
surname,5036,Waldherr,Gubitoso
surname,5089,Obermaier,Bertsekas
surname,5095,Milicia,Kusakabe
surname,5124,Milicia,Bollman
surname,5130,Obermaier,Bertsekas
surname,5132,Obermaier,Bertsekas
surname,5147,Milicia,Guyton
surname,5150,Waldherr,Gubitoso
surname,5167,Obermaier,Bertsekas
surname,5193,Waldherr,Gubitoso
surname,5218,Milicia,Bollman
surname,5222,Obermaier,Bertsekas
surname,5228,Milicia,Noltemeier
surname,5236,Obermaier,Bertsekas
surname,5239,Obermaier,Bertsekas
surname,5240,Obermaier,Bertsekas
surname,5295,Waldherr,Gubitoso
surname,5340,Obermaier,Bertsekas
surname,5358,Milicia,Kusakabe
surname,5391,Milicia,McCain
surname,5392,Milicia,Babb
surname,5410,Waldherr,Gubitoso
surname,5420,Obermaier,Bertsekas
surname,5432,Obermaier,Bertsekas
surname,5448,Milicia,Babb
surname,5464,Milicia,Noltemeier
surname,5469,Obermaier,Bertsekas
surname,5477,Milicia,Guyton
surname,5494,Obermaier,Bertsekas
surname,5506,Milicia,Babb
surname,5516,Waldherr,Gubitoso
surname,5533,Waldherr,Gubitoso
surname,5541,Obermaier,Bertsekas
surname,5544,Waldherr,Gubitoso
surname,5556,Obermaier,Bertsekas
surname,5570,Waldherr,Gubitoso
surname,5571,Waldherr,Gubitoso
surname,5578,Milicia,Guyton
surname,5643,Waldherr,Gubitoso
surname,5663,Waldherr,Gubitoso
surname,5666,Obermaier,Bertsekas
surname,5721,Waldherr,Gubitoso
surname,5756,Obermaier,Bertsekas
surname,5777,Waldherr,Gubitoso
surname,5785,Waldherr,Gubitoso
surname,5788,Milicia,Noltemeier
surname,5811,Milicia,Guyton
surname,5814,Waldherr,Gubitoso
surname,5830,Milicia,McCain
surname,5844,Milicia,Noltemeier
surname,5846,Obermaier,Bertsekas
surname,5862,Obermaier,Bertsekas
surname,5865,Waldherr,Gubitoso
surname,5915,Milicia,McCain
surname,5919,Waldherr,Gubitoso
surname,5922,Waldherr,Gubitoso
surname,5924,Waldherr,Gubitoso
surname,5940,Obermaier,Bertsekas
surname,5947,Milicia,Guyton
surname,5959,Milicia,Babb
surname,5970,Waldherr,Gubitoso
surname,5995,Waldherr,Gubitoso
surname,6033,Milicia,Babb
surname,6037,Milicia,Kusakabe
surname,6052,Waldherr,Gubitoso
surname,6070,Obermaier,Bertsekas
surname,6079,Waldherr,Gubitoso
surname,6097,Obermaier,Bertsekas
surname,6159,Waldherr,Gubitoso
surname,6174,Waldherr,Gubitoso
surname,6202,Milicia,McCain
surname,6226,Waldherr,Gubitoso
surname,6228,Waldherr,Gubitoso
surname,6241,Milicia,McCain
surname,6278,Milicia,Kusakabe
surname,6347,Obermaier,Bertsekas
surname,6359,Obermaier,Bertsekas
surname,6365,Waldherr,Gubitoso
surname,6366,Waldherr,Gubitoso
surname,6370,Obermaier,Bertsekas
surname,6390,Milicia,Babb
surname,6434,Waldherr,Gubitoso
surname,6451,Waldherr,Gubitoso
surname,6459,Waldherr,Gubitoso
surname,6485,Waldherr,Gubitoso
surname,6490,Milicia,McCain
surname,6497,Waldherr,Gubitoso
surname,6551,Milicia,Kusakabe
surname,6568,Milicia,Babb
surname,6583,Milicia,Noltemeier
surname,6587,Milicia,Bollman
surname,6606,Obermaier,Bertsekas
surname,6680,Waldherr,Gubitoso
surname,6700,Milicia,Bollman
surname,6748,Waldherr,Gubitoso
surname,6751,Waldherr,Gubitoso
surname,6756,Waldherr,Gubitoso
surname,6780,Waldherr,Gubitoso
surname,6783,Waldherr,Gubitoso
surname,6811,Obermaier,Bertsekas
surname,6820,Waldherr,Gubitoso
surname,6836,Milicia,Kusakabe
surname,6837,Obermaier,Bertsekas
surname,6848,Obermaier,Bertsekas
surname,6915,Waldherr,Gubitoso
surname,6921,Milicia,Bollman
surname,6936,Waldherr,Gubitoso
surname,6944,Milicia,McCain
surname,6953,Waldherr,Gubitoso
surname,6973,Milicia,Blix
surname,6993,Obermaier,Bertsekas
surname,6998,Waldherr,Gubitoso
surname,6999,Waldherr,Gubitoso
surname,7015,Milicia,Babb
surname,7016,Obermaier,Bertsekas
surname,7041,Waldherr,Gubitoso
surname,7063,Milicia,Guyton
surname,7079,Milicia,Blix
surname,7091,Milicia,Guyton
surname,7130,Milicia,Babb
surname,7148,Milicia,McCain
surname,7151,Milicia,Babb
surname,7173,Waldherr,Gubitoso
surname,7190,Waldherr,Gubitoso
surname,7222,Milicia,Bollman
surname,7246,Milicia,Noltemeier
surname,7257,Waldherr,Gubitoso
surname,7320,Waldherr,Gubitoso
surname,7328,Milicia,McCain
surname,7331,Obermaier,Bertsekas
surname,7365,Waldherr,Gubitoso
surname,7376,Obermaier,Bertsekas
surname,7408,Waldherr,Gubitoso
surname,7415,Milicia,Kusakabe
surname,7437,Obermaier,Bertsekas
surname,7439,Milicia,McCain
surname,7443,Obermaier,Bertsekas
surname,7455,Milicia,Bollman
surname,7470,Obermaier,Bertsekas
surname,7480,Waldherr,Gubitoso
surname,7532,Waldherr,Gubitoso
surname,7533,Milicia,Kusakabe
surname,7547,Milicia,Bollman
surname,7576,Waldherr,Gubitoso
surname,7606,Waldherr,Gubitoso
surname,7624,Milicia,Babb
surname,7661,Obermaier,Bertsekas
surname,7664,Milicia,McCain
surname,7666,Obermaier,Bertsekas
surname,7700,Obermaier,Bertsekas
surname,7706,Waldherr,Gubitoso
surname,7717,Milicia,Kusakabe
surname,7725,Milicia,Guyton
surname,7740,Milicia,Babb
surname,7753,Waldherr,Gubitoso
surname,7759,Milicia,Babb
surname,7807,Obermaier,Bertsekas
surname,7817,Waldherr,Gubitoso
surname,7851,Waldherr,Gubitoso
surname,7854,Milicia,Bollman
surname,7884,Obermaier,Bertsekas
surname,7899,Waldherr,Gubitoso
surname,7912,Waldherr,Gubitoso
surname,7929,Waldherr,Gubitoso
surname,7936,Obermaier,Bertsekas
surname,7977,Waldherr,Gubitoso
surname,7984,Milicia,Bollman
surname,8001,Waldherr,Gubitoso
surname,8033,Waldherr,Gubitoso
surname,8037,Waldherr,Gubitoso
surname,8047,Milicia,Bollman
surname,8075,Milicia,Guyton
surname,8089,Waldherr,Gubitoso
surname,8099,Waldherr,Gubitoso
surname,8126,Waldherr,Gubitoso
surname,8137,Waldherr,Gubitoso
surname,8147,Milicia,McCain
surname,8152,Milicia,Bollman
surname,8165,Milicia,Guyton
surname,8179,Milicia,McCain
surname,8212,Obermaier,Bertsekas
surname,8240,Waldherr,Gubitoso
surname,8250,Milicia,Babb
surname,8252,Waldherr,Gubitoso
surname,8267,Waldherr,Gubitoso
surname,8271,Milicia,McCain
surname,8340,Waldherr,Gubitoso
surname,8350,Waldherr,Gubitoso
surname,8361,Milicia,Blix
surname,8377,Obermaier,Bertsekas
surname,8424,Waldherr,Gubitoso
surname,8454,Milicia,McCain
surname,8457,Milicia,Noltemeier
surname,8480,Waldherr,Gubitoso
surname,8504,Obermaier,Bertsekas
surname,8512,Milicia,Noltemeier
surname,8521,Waldherr,Gubitoso
surname,8571,Milicia,Kusakabe
surname,8606,Milicia,Kusakabe
surname,8628,Waldherr,Gubitoso
surname,8651,Obermaier,Bertsekas
surname,8655,Milicia,Blix
surname,8668,Obermaier,Bertsekas
surname,8761,Obermaier,Bertsekas
surname,8762,Waldherr,Gubitoso
surname,8777,Milicia,Blix
surname,8780,Milicia,McCain
surname,8791,Waldherr,Gubitoso
surname,8798,Waldherr,Gubitoso
surname,8802,Waldherr,Gubitoso
surname,8833,Obermaier,Bertsekas
surname,8839,Obermaier,Bertsekas
surname,8882,Waldherr,Gubitoso
surname,8886,Waldherr,Gubitoso
surname,8891,Obermaier,Bertsekas
surname,8914,Waldherr,Gubitoso
surname,8923,Milicia,McCain
surname,8937,Milicia,Guyton
surname,8939,Waldherr,Gubitoso
surname,8973,Waldherr,Gubitoso
surname,8976,Milicia,McCain
surname,8994,Milicia,Guyton
surname,9013,Obermaier,Bertsekas
surname,9019,Waldherr,Gubitoso
surname,9021,Waldherr,Gubitoso
surname,9069,Milicia,Noltemeier
surname,9115,Milicia,Kusakabe
surname,9129,Obermaier,Bertsekas
surname,9133,Obermaier,Bertsekas
surname,9158,Waldherr,Gubitoso
surname,9162,Waldherr,Gubitoso
surname,9196,Milicia,McCain
surname,9221,Waldherr,Gubitoso
surname,9296,Waldherr,Gubitoso
surname,9316,Milicia,Kusakabe
surname,9361,Milicia,Bollman
surname,9393,Waldherr,Gubitoso
surname,9397,Waldherr,Gubitoso
surname,9411,Milicia,Kusakabe
surname,9416,Waldherr,Gubitoso
surname,9430,Obermaier,Bertsekas
surname,9475,Obermaier,Bertsekas
surname,9507,Waldherr,Gubitoso
surname,9539,Waldherr,Gubitoso
surname,9564,Obermaier,Bertsekas
surname,9576,Milicia,McCain
surname,9619,Waldherr,Gubitoso
surname,9635,Milicia,Noltemeier
surname,9646,Obermaier,Bertsekas
surname,9659,Waldherr,Gubitoso
surname,9676,Obermaier,Bertsekas
surname,9694,Waldherr,Gubitoso
surname,9724,Waldherr,Gubitoso
surname,9731,Milicia,Noltemeier
surname,9782,Waldherr,Gubitoso
surname,9803,Obermaier,Bertsekas
surname,9842,Obermaier,Bertsekas
surname,9888,Waldherr,Gubitoso
surname,9905,Waldherr,Gubitoso
surname,9906,Waldherr,Gubitoso
surname,9907,Waldherr,Gubitoso
surname,9948,Milicia,Kusakabe
surname,9956,Milicia,Kusakabe
surname,9981,Milicia,Babb
surname,9985,Milicia,Blix
surname,9990,Waldherr,Gubitoso
season,123,211,2013
season,200,g2011,2011
season,208,11,2013
season,235,201,2013
season,257,201,2013
season,291,2103,2013
season,340,2011***,2011
season,395,13,2013
season,635,201,2011
season,656,q2011,2011
season,725,203,2013
season,776,2101,2011
season,909,s2011,2011
season,912,2y011,2011
season,939,2011***,2011
season,968,211,2011
season,974,211,2013
season,992,211,2013
season,1007,11,2013
season,1061,213,2013
season,1109,2031,2013
season,1160,2031,2013
season,1201,201,2011
season,1253,201k1,2013
season,1327,2011***,2013
season,1334,20t13,2013
season,1366,z2011,2013
season,1367,201t1,2013
season,1379,11,2013
season,1387,g2011,2011
season,1394,201c1,2011
season,1402,2011***,2011
season,1414,203,2013
season,1506,211,2011
season,1533,11,2011
season,1641,c2011,2011
season,1816,2011***,2013
season,1936,211,2011
season,2035,201m1,2013
season,2036,2011***,2013
season,2079,2011***,2011
season,2106,20x13,2013
season,2232,20d11,2011
season,2238,20p11,2013
season,2278,11,2011
season,2366,201j1,2013
season,2369,11,2013
season,2416,2011***,2011
season,2438,e2011,2011
season,2466,2011***,2011
season,2488,11,2013
season,2495,2011***,2013
season,2519,11,2011
season,2637,2103,2013
season,2663,11,2011
season,2747,213,2013
season,2772,201q1,2013
season,2821,211,2011
season,2857,2011***,2013
season,2858,201d1,2013
season,2917,t2011,2011
season,3041,2000000000000,2013
season,3042,2x011,2013
season,3080,213,2013
