Attribute,Index,Dirty Value,Cleaned Value
brewery_id,1592,368,0
brewery_id,2286,60,0
brewery_id,410,542,0
brewery_id,409,542,0
brewery_id,1333,426,0
brewery_id,1332,426,0
brewery_id,550,528,0
brewery_id,429,528,0
brewery_id,527,72,0
brewery_id,2105,34,0
brewery_id,1261,75,0
brewery_id,2449,95,12
brewery_id,1408,414,382
brewery_id,798,107,0
brewery_id,1522,391,0
brewery_id,397,391,0
brewery_id,193,391,0
brewery_id,83,391,0
brewery_id,2241,10,0
brewery_id,1096,467,0
brewery_id,1095,467,0
brewery_id,66,437,0
brewery_id,29,530,0
brewery_id,2125,214,0
brewery_id,2213,182,0
brewery_id,794,155,0
brewery_id,2257,178,0
brewery_id,2256,178,0
brewery_id,2064,230,0
brewery_id,784,504,0
brewery_id,783,504,0
brewery_id,782,504,0
brewery_id,2094,222,0
brewery_id,1941,222,0
brewery_id,1940,222,0
brewery_id,1439,222,0
brewery_id,1219,452,0
brewery_id,1218,452,0
brewery_id,1649,350,0
brewery_id,1648,350,0
brewery_id,2057,236,0
brewery_id,2056,236,0
brewery_id,2055,236,0
brewery_id,1933,236,0
brewery_id,2019,250,0
brewery_id,2018,250,0
brewery_id,2017,250,0
brewery_id,2016,250,0
brewery_id,1138,141,0
brewery_id,970,482,0
brewery_id,969,482,0
brewery_id,968,482,0
brewery_id,2351,139,0
brewery_id,1650,139,0
brewery_id,1337,139,0
brewery_id,1336,139,0
brewery_id,2025,57,0
brewery_id,2021,57,0
brewery_id,924,491,0
brewery_id,731,491,0
brewery_id,1452,405,0
brewery_id,2591,36,0
brewery_id,2590,36,0
brewery_id,1968,36,0
brewery_id,2463,48,0
brewery_id,1874,287,0
brewery_id,1873,287,0
brewery_id,1872,287,0
brewery_id,1998,253,0
brewery_id,1556,253,0
brewery_id,2077,228,0
brewery_id,2045,240,0
brewery_id,1399,240,0
brewery_id,1829,88,0
brewery_id,478,165,0
brewery_id,2646,6,0
brewery_id,192,234,0
brewery_id,1895,280,0
brewery_id,1894,280,0
brewery_id,1893,280,0
brewery_id,1835,297,0
brewery_id,1834,297,0
brewery_id,1833,297,0
brewery_id,2400,80,0
brewery_id,2398,80,0
brewery_id,2200,80,0
brewery_id,2671,2,0
brewery_id,1254,32,0
brewery_id,1235,125,0
brewery_id,1678,342,0
brewery_id,1572,342,0
brewery_id,1348,342,0
brewery_id,1193,458,0
brewery_id,1187,458,0
brewery_id,1741,332,0
brewery_id,664,332,0
brewery_id,473,537,0
brewery_id,1832,298,0
brewery_id,1688,298,0
brewery_id,1687,298,0
brewery_id,1686,298,0
brewery_id,1571,377,456
brewery_id,962,485,0
brewery_id,961,485,0
brewery_id,1994,91,0
brewery_id,1234,161,0
brewery_id,1231,161,0
brewery_id,1831,299,0
brewery_id,957,299,0
brewery_id,2534,65,0
brewery_id,2279,134,0
brewery_id,2442,98,0
brewery_id,2441,98,0
brewery_id,1460,98,0
brewery_id,1537,387,0
brewery_id,646,518,0
brewery_id,165,518,0
brewery_id,805,503,166
brewery_id,804,503,166
brewery_id,803,503,166
brewery_id,787,503,166
brewery_id,786,503,166
brewery_id,785,503,166
brewery_id,745,503,166
brewery_id,744,503,166
brewery_id,743,503,166
brewery_id,742,503,166
brewery_id,741,503,166
brewery_id,734,503,166
brewery_id,733,503,166
brewery_id,1931,266,0
brewery_id,1930,266,0
brewery_id,2635,11,0
brewery_id,1404,11,0
brewery_id,1403,11,0
brewery_id,1463,135,0
brewery_id,1021,475,0
brewery_id,938,475,0
brewery_id,1176,110,0
brewery_id,710,386,0
brewery_id,1851,93,0
brewery_id,2580,42,0
brewery_id,1807,42,0
brewery_id,2579,43,0
brewery_id,1880,43,0
brewery_id,2074,229,0
brewery_id,2053,164,0
brewery_id,764,30,0
brewery_id,918,494,0
brewery_id,917,494,0
brewery_id,426,83,0
brewery_id,2266,46,0
brewery_id,1591,46,0
brewery_id,1521,264,0
brewery_id,2305,163,371
brewery_id,1447,309,0
brewery_id,1152,309,0
brewery_id,2267,118,0
brewery_id,1634,175,0
brewery_id,1983,255,0
brewery_id,1631,255,0
brewery_id,1344,255,0
brewery_id,2352,138,58
brewery_id,2473,58,138
brewery_id,2000,25,0
brewery_id,1999,25,0
brewery_id,1948,25,0
brewery_id,698,25,0
brewery_id,2409,61,0
brewery_id,676,45,0
brewery_id,2155,210,0
brewery_id,1810,272,0
brewery_id,1889,282,0
brewery_id,1222,282,0
brewery_id,122,282,0
brewery_id,121,282,0
brewery_id,948,17,0
brewery_id,1856,291,0
brewery_id,736,291,0
brewery_id,1509,97,0
brewery_id,25,522,0
brewery_id,1315,51,0
brewery_id,345,51,0
brewery_id,1730,322,0
brewery_id,1845,295,0
brewery_id,740,361,0
brewery_id,2253,181,0
brewery_id,826,499,0
brewery_id,825,499,0
brewery_id,813,499,0
brewery_id,2417,109,0
brewery_id,2306,109,0
brewery_name,2449,Blackrocks Brewery,0
brewery_name,1408,Blue Mountain Brewery,0
brewery_name,1571,Lucette Brewing Company,0
brewery_name,805,Oskar Blues Brewery,0
brewery_name,804,Oskar Blues Brewery,0
brewery_name,803,Oskar Blues Brewery,0
brewery_name,787,Oskar Blues Brewery,0
brewery_name,786,Oskar Blues Brewery,0
brewery_name,785,Oskar Blues Brewery,0
brewery_name,745,Oskar Blues Brewery,0
brewery_name,744,Oskar Blues Brewery,0
brewery_name,743,Oskar Blues Brewery,0
brewery_name,742,Oskar Blues Brewery,0
brewery_name,741,Oskar Blues Brewery,0
brewery_name,734,Oskar Blues Brewery,0
brewery_name,733,Oskar Blues Brewery,0
brewery_name,1908,Otter Creek Brewing,0
brewery_name,2305,Sly Fox Brewing Company,0
brewery_name,2352,Summit Brewing Company,0
city,1592,San Francisco CA,San Francisco
city,2286,Saint Louis MO,Saint Louis
city,429,Asheville NC,Asheville
city,527,Detroit MI,Detroit
city,2105,San Diego CA,San Diego
city,1261,Duluth MN,Duluth
city,1547,Afton VA,Afton
city,798,Eagle CO,Eagle
city,2241,Grand Rapids MI,Grand Rapids
city,66,Brooklyn NY,Brooklyn
city,29,Reno NV,Reno
city,2125,Houston TX,Houston
city,2213,Oklahoma City OK,Oklahoma City
city,794,Ashland OR,Ashland
city,2064,Gloucester MA,Gloucester
city,1648,San Luis Obispo CA,San Luis Obispo
city,1138,Tampa FL,Tampa
city,2025,Bloomington IL,Bloomington
city,2021,Bloomington IL,Bloomington
city,731,Belmont CA,Belmont
city,1452,Boulder CO,Boulder
city,2463,Paso Robles CA,Paso Robles
city,1556,Frankenmuth MI,Frankenmuth
city,2077,Lake Geneva WI,Lake Geneva
city,2045,Los Angeles CA,Los Angeles
city,1399,Los Angeles CA,Los Angeles
city,1829,Chicago IL,Chicago
city,478,Aurora IN,Aurora
city,2646,Denver CO,Denver
city,192,Boston MA,Boston
city,2400,Portland OR,Portland
city,2398,Portland OR,Portland
city,2200,Portland OR,Portland
city,2671,Framingham MA,Framingham
city,1254,Stevens Point WI,Stevens Point
city,1235,Houston TX,Houston
city,1187,Soldotna AK,Soldotna
city,473,Helena MT,Helena
city,1994,Cincinnati OH,Cincinnati
city,1234,Fort Worth TX,Fort Worth
city,1231,Fort Worth TX,Fort Worth
city,1831,Utica NY,Utica
city,957,Utica NY,Utica
city,2534,Chicago IL,Chicago
city,2279,Monroe WI,Monroe
city,2442,San Diego CA,San Diego
city,1460,San Diego CA,San Diego
city,1537,Portland OR,Portland
city,1750,Longmont CO,Longmont
city,1444,Longmont CO,Longmont
city,4,Longmont CO,Longmont
city,1463,Dillon CO,Dillon
city,1176,Denver CO,Denver
city,710,Paonia CO,Paonia
city,1851,Cincinnati OH,Cincinnati
city,2579,Export PA,Export
city,1880,Export PA,Export
city,2074,Rochester MI,Rochester
city,2053,Lansdale PA,Lansdale
city,764,Chandler AZ,Chandler
city,426,Chico CA,Chico
city,2266,Brooklyn NY,Brooklyn
city,1591,Brooklyn NY,Brooklyn
city,1521,Durango CO,Durango
city,166,Pottstown PA,Pottstown
city,1447,Boise ID,Boise
city,1152,Boise ID,Boise
city,2267,Conroe TX,Conroe
city,1634,Chicago IL,Chicago
city,2473,St. Paul MN,St. Paul
city,2000,Indianapolis IN,Indianapolis
city,1999,Indianapolis IN,Indianapolis
city,1948,Indianapolis IN,Indianapolis
city,698,Indianapolis IN,Indianapolis
city,2409,Brooklyn Center MN,Brooklyn Center
city,676,Manhattan KS,Manhattan
city,2155,Evanston IL,Evanston
city,1810,Waterbury VT,Waterbury
city,948,Evansville IN,Evansville
city,1509,Hershey PA,Hershey
city,25,Santa Cruz CA,Santa Cruz
city,1315,Boulder CO,Boulder
city,345,Boulder CO,Boulder
city,1730,Meadville PA,Meadville
city,1845,Westminster MA,Westminster
city,740,Lake Barrington IL,Lake Barrington
city,2253,Nellysford VA,Nellysford
state,1592,empty,CA
state,2286,empty,MO
state,429,empty,NC
state,527,empty,MI
state,2105,empty,CA
state,1261,empty,MN
state,1547,empty,VA
state,798,empty,CO
state,2241,empty,MI
state,66,empty,NY
state,29,empty,NV
state,2125,empty,TX
state,2213,empty,OK
state,794,empty,OR
state,2064,empty,MA
state,1648,empty,CA
state,1138,empty,FL
state,2025,empty,IL
state,2021,empty,IL
state,731,empty,CA
state,1452,empty,CO
state,2463,empty,CA
state,1556,empty,MI
state,2077,empty,WI
state,2045,empty,CA
state,1399,empty,CA
state,1829,empty,IL
state,478,empty,IN
state,2646,empty,CO
state,192,empty,MA
state,2400,empty,OR
state,2398,empty,OR
state,2200,empty,OR
state,2671,empty,MA
state,1254,empty,WI
state,1235,empty,TX
state,1187,empty,AK
state,473,empty,MT
state,1994,empty,OH
state,1234,empty,TX
state,1231,empty,TX
state,1831,empty,NY
state,957,empty,NY
state,2534,empty,IL
state,2279,empty,WI
state,2442,empty,CA
state,1460,empty,CA
state,1537,empty,OR
state,1750,empty,CO
state,1444,empty,CO
state,4,empty,CO
state,1404,empty,MI
state,1463,empty,CO
state,938,empty,GA
state,1176,empty,CO
state,710,empty,CO
state,1851,empty,OH
state,2579,empty,PA
state,1880,empty,PA
state,2074,empty,MI
state,2053,empty,PA
state,764,empty,AZ
state,426,empty,CA
state,2266,empty,NY
state,1591,empty,NY
state,1521,empty,CO
state,166,empty,PA
state,1447,empty,ID
state,1152,empty,ID
state,2267,empty,TX
state,1634,empty,IL
state,2473,empty,MN
state,2000,empty,IN
state,1999,empty,IN
state,1948,empty,IN
state,698,empty,IN
state,2409,empty,MN
state,676,empty,KS
state,2155,empty,IL
state,1810,empty,VT
state,948,empty,IN
state,1509,empty,PA
state,25,empty,CA
state,1315,empty,CO
state,345,empty,CO
state,1730,empty,PA
state,1845,empty,MA
state,740,empty,IL
state,2253,empty,VA
