Attribute,Index,Clean Value,Cleaned Value
name,20,catherina_loan,0
name,83,bhuwan_percy,0
name,92,nedo_sudarshan,0
name,97,graham_kukhamay,0
name,102,anke_ute,0
name,109,murat_luc,0
name,118,jianlin_guanghui,0
name,129,ernest_chiemi,0
name,150,jinsei_ranjeev,0
name,192,hichum_ashok,0
name,215,andres_yahya,0
name,222,jianlin_guanghui,0
name,223,yadran_mechthild,0
name,225,brad_zhaofang,0
name,229,yasusi_seongyeol,0
name,232,andres_yahya,0
name,237,graham_kukhamay,0
name,242,eleftherios_maxwell,0
name,249,ernest_chiemi,0
name,269,brad_zhaofang,0
name,297,murat_luc,0
name,298,yadran_mechthild,0
name,300,ryoichi_ilan,0
name,315,chitresh_harlan,0
name,360,theordore_zhaoqian,0
name,372,athushi_belli,0
name,377,chitresh_harlan,0
name,378,eleftherios_maxwell,0
name,414,jianlin_guanghui,0
name,419,jinsei_ranjeev,0
name,424,ernest_chiemi,0
name,425,jianlin_guanghui,0
name,442,ryoichi_ilan,0
name,460,theordore_zhaoqian,0
name,464,brad_zhaofang,0
name,517,judy_brant,0
name,552,luitpold_avra,0
name,570,yasusi_seongyeol,0
name,599,ernest_chiemi,0
name,636,abhaya_win,0
name,638,hichum_ashok,0
name,653,jinsei_ranjeev,0
name,660,hichum_ashok,0
name,673,yasusi_seongyeol,0
name,687,lundy_bharathi,0
name,702,brad_zhaofang,0
name,731,ryoichi_ilan,0
name,738,yadran_mechthild,0
name,740,caryl_moninder,0
name,749,graham_kukhamay,0
name,785,lundy_bharathi,0
name,794,anke_ute,0
name,796,judy_brant,0
name,808,yasusi_seongyeol,0
name,838,ernest_chiemi,0
name,850,chitresh_harlan,0
name,858,yasusi_seongyeol,0
name,860,judy_brant,0
name,915,bhuwan_percy,0
name,924,surapol_yechezkel,0
name,940,caryl_moninder,0
name,955,bhuwan_percy,0
name,988,hichum_ashok,0
name,993,hichum_ashok,0
name,994,brad_zhaofang,0
name,1016,graham_kukhamay,0
name,1057,surapol_yechezkel,0
name,1058,bhuwan_percy,0
name,1063,luitpold_avra,0
name,1089,ernest_chiemi,0
name,1090,brad_zhaofang,0
name,1118,ernest_chiemi,0
name,1128,ryoichi_ilan,0
name,1141,jianlin_guanghui,0
name,1155,lundy_bharathi,0
name,1156,lundy_bharathi,0
name,1163,andres_yahya,0
name,1206,eleftherios_maxwell,0
name,1219,andres_yahya,0
name,1243,jinsei_ranjeev,0
name,1245,anke_ute,0
name,1246,judy_brant,0
name,1259,theordore_zhaoqian,0
name,1262,theordore_zhaoqian,0
name,1301,yasusi_seongyeol,0
name,1312,judy_brant,0
name,1372,ernest_chiemi,0
name,1374,graham_kukhamay,0
name,1375,luitpold_avra,0
name,1378,brad_zhaofang,0
name,1388,jianlin_guanghui,0
name,1395,athushi_belli,0
name,1409,bhuwan_percy,0
name,1421,anke_ute,0
name,1486,yadran_mechthild,0
name,1539,anke_ute,0
name,1544,ernest_chiemi,0
name,1547,athushi_belli,0
name,1548,anke_ute,0
name,1589,judy_brant,0
name,1603,lundy_bharathi,0
name,1612,graham_kukhamay,0
name,1649,yasusi_seongyeol,0
name,1670,lundy_bharathi,0
name,1690,luitpold_avra,0
name,1694,yasusi_seongyeol,0
name,1702,graham_kukhamay,0
name,1721,judy_brant,0
name,1732,chitresh_harlan,0
name,1737,chitresh_harlan,0
name,1743,lundy_bharathi,0
name,1760,ryoichi_ilan,0
name,1785,chitresh_harlan,0
name,1797,ernest_chiemi,0
name,1805,theordore_zhaoqian,0
name,1830,andres_yahya,0
name,1853,luitpold_avra,0
name,1871,brad_zhaofang,0
name,1882,caryl_moninder,0
name,1910,ryoichi_ilan,0
name,1917,lundy_bharathi,0
name,1942,abhaya_win,0
name,1951,yasusi_seongyeol,0
name,1976,chitresh_harlan,0
name,1988,brad_zhaofang,0
name,1993,yadran_mechthild,0
name,1999,ryoichi_ilan,0
name,2010,hichum_ashok,0
name,2021,yadran_mechthild,0
name,2028,theordore_zhaoqian,0
name,2105,graham_kukhamay,0
name,2132,judy_brant,0
name,2137,caryl_moninder,0
name,2146,jianlin_guanghui,0
name,2167,judy_brant,0
name,2250,graham_kukhamay,0
name,2255,jinsei_ranjeev,0
name,2262,yadran_mechthild,0
name,2265,abhaya_win,0
name,2288,andres_yahya,0
name,2297,graham_kukhamay,0
name,2331,yadran_mechthild,0
