Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: name, MSE: nan, Jaccard: 0.0407292841634449
Attribute: surname, MSE: nan, Jaccard: 0.08696963512472333
Attribute: birthyear, MSE: nan, Jaccard: 0.0
Attribute: birthplace, MSE: nan, Jaccard: 0.0
Attribute: position, MSE: nan, Jaccard: 0.0
Attribute: team, MSE: nan, Jaccard: 0.028802525152890168
Attribute: city, MSE: nan, Jaccard: 0.06508685880786946
Attribute: stadium, MSE: nan, Jaccard: 0.0011883771878441474
Attribute: season, MSE: nan, Jaccard: 0.8867110354434298
Attribute: manager, MSE: nan, Jaccard: 0.0
加权混合距离: 0.05043125981273645
