Attribute,Index,Dirty Value,Cleaned Value
surname,5,Obermaier,Rayne
surname,20,Rayne,Waldherr
surname,83,Rayne,Bouabdallah
surname,92,Waldherr,Rayne
surname,97,Milicia,McCain
surname,102,Waldherr,Weener
surname,118,Obermaier,Rudstrom
surname,129,Waldherr,Broch
surname,150,Milicia,Blix
surname,215,Haining,Wolin
surname,222,Obermaier,Rudstrom
surname,225,Waldherr,Dighe
surname,229,Waldherr,Clemm
surname,232,Haining,Wolin
surname,237,Milicia,McCain
surname,241,Senator,Rayne
surname,242,Milicia,Bollman
surname,249,Waldherr,Broch
surname,269,Waldherr,Dighe
surname,300,Obermaier,Togni
surname,315,Milicia,Babb
surname,360,Rayne,Devroye
surname,372,Gull,Rayne
surname,377,Milicia,Babb
surname,378,Milicia,Bollman
surname,379,Senator,Rayne
surname,414,Obermaier,Rudstrom
surname,419,Milicia,Blix
surname,424,Waldherr,Broch
surname,425,Obermaier,Rudstrom
surname,426,Leifker,Rayne
surname,440,Kusakabe,Milicia
surname,442,Obermaier,Togni
surname,460,Rayne,Devroye
surname,464,Waldherr,Dighe
surname,470,Leifker,Rayne
surname,490,Senator,Rayne
surname,517,Haining,Prenel
surname,527,Kusakabe,Milicia
surname,552,Milicia,Guyton
surname,570,Waldherr,Clemm
surname,599,Waldherr,Broch
surname,653,Milicia,Blix
surname,673,Waldherr,Clemm
surname,687,Rayne,Remp
surname,702,Waldherr,Dighe
surname,731,Obermaier,Togni
surname,749,Milicia,McCain
surname,785,Rayne,Remp
surname,794,Waldherr,Weener
surname,796,Haining,Prenel
surname,808,Waldherr,Clemm
surname,838,Waldherr,Broch
surname,850,Milicia,Babb
surname,858,Waldherr,Clemm
surname,860,Haining,Prenel
surname,915,Rayne,Bouabdallah
surname,924,Milicia,Noltemeier
surname,955,Rayne,Bouabdallah
surname,986,Leifker,Rayne
surname,994,Waldherr,Dighe
surname,1016,Milicia,McCain
surname,1057,Milicia,Noltemeier
surname,1058,Rayne,Bouabdallah
surname,1062,Kusakabe,Milicia
surname,1063,Milicia,Guyton
surname,1089,Waldherr,Broch
surname,1090,Waldherr,Dighe
surname,1098,Senator,Rayne
