Attribute,Index,Dirty Value,Clean Value
surname,32,obermaier,guoxing
surname,109,milicia,kusakabe
surname,119,haining,preas
surname,192,rayne,leifker
surname,282,milicia,ruocco
surname,283,obermaier,guoxing
surname,296,obermaier,cippico
surname,297,milicia,kusakabe
surname,339,rayne,waldherr
surname,389,rayne,waldherr
surname,435,haining,hooghiemstra
surname,528,milicia,kakuta
surname,538,obermaier,bertsekas
surname,544,milicia,batz
surname,589,rayne,waldherr
surname,600,rayne,waldherr
surname,638,rayne,leifker
surname,660,rayne,leifker
surname,682,obermaier,guoxing
surname,683,rayne,waldherr
surname,700,milicia,kakuta
surname,740,rayne,obermaier
surname,746,milicia,coppola
surname,747,milicia,coppola
surname,803,milicia,batz
surname,809,rayne,waldherr
surname,936,haining,yang
surname,940,rayne,obermaier
surname,982,obermaier,bertsekas
surname,988,rayne,leifker
surname,993,rayne,leifker
surname,1035,haining,yang
surname,1040,obermaier,guoxing
surname,1070,haining,yang
surname,1077,obermaier,cippico
surname,1083,rayne,waldherr
surname,1293,milicia,coppola
surname,1298,rayne,waldherr
surname,1321,milicia,ruocco
surname,1344,milicia,batz
surname,1469,obermaier,cippico
surname,1536,obermaier,cippico
surname,1550,rayne,waldherr
surname,1559,milicia,ruocco
surname,1635,obermaier,guoxing
surname,1693,rayne,waldherr
surname,1707,haining,yang
surname,1826,haining,preas
surname,1862,milicia,kakuta
surname,1870,milicia,kakuta
surname,1882,rayne,obermaier
surname,1974,milicia,coppola
surname,2010,rayne,leifker
surname,2020,milicia,coppola
surname,2045,milicia,ruocco
surname,2114,milicia,kakuta
surname,2115,milicia,ruocco
surname,2137,rayne,obermaier
surname,2213,obermaier,cippico
surname,2223,obermaier,guoxing
surname,2280,haining,preas
surname,2351,milicia,coppola
surname,2428,rayne,obermaier
surname,2444,milicia,kakuta
surname,2502,milicia,kusakabe
surname,2539,haining,hooghiemstra
surname,2561,milicia,coppola
surname,2566,obermaier,guoxing
surname,2573,haining,preas
surname,2668,milicia,kusakabe
surname,2680,milicia,batz
surname,2710,milicia,kusakabe
surname,2757,milicia,kusakabe
surname,2764,milicia,coppola
surname,2781,milicia,kusakabe
surname,2813,obermaier,bertsekas
surname,2862,milicia,kakuta
surname,2871,milicia,ruocco
surname,2898,milicia,ruocco
surname,2966,haining,preas
surname,3022,obermaier,cippico
surname,3094,milicia,kakuta
surname,3106,obermaier,bertsekas
surname,3154,milicia,coppola
surname,3164,haining,yang
surname,3177,haining,yang
surname,3183,obermaier,guoxing
surname,3240,rayne,waldherr
surname,3247,haining,hooghiemstra
surname,3323,rayne,waldherr
surname,3426,milicia,batz
surname,3497,obermaier,bertsekas
surname,3512,milicia,batz
surname,3575,obermaier,bertsekas
surname,3617,rayne,leifker
surname,3626,milicia,coppola
surname,3627,obermaier,cippico
surname,3673,rayne,waldherr
surname,3745,rayne,leifker
surname,3776,obermaier,bertsekas
surname,3809,milicia,batz
surname,3822,haining,preas
surname,3860,milicia,batz
surname,3861,haining,preas
surname,3890,milicia,coppola
surname,3910,haining,yang
surname,3917,milicia,coppola
surname,3976,haining,yang
surname,3991,haining,preas
surname,3999,milicia,kusakabe
surname,4003,haining,hooghiemstra
surname,4011,obermaier,cippico
surname,4030,milicia,kakuta
surname,4032,milicia,kakuta
surname,4033,haining,yang
surname,4034,obermaier,guoxing
